Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2022,Cadillac,XT5,"Wheelbase 112.5 in (2,857 mm)","Layout Front-engine, front-wheel drive / all-wheel drive",,,Transmission AF50-8 (8-speed) (2017–2019),"Layout Front-engine, front-wheel drive / all-wheel drive",,,,,,,,Predecessor Cadillac SRX,"In the United States, it was a 3.6-liter V6 used in other recent Cadillac models","In the United States, it was a 3.6-liter V6 used in other recent Cadillac models, producing 310 hp (231 kW) and 271 lb⋅ft (367 N⋅m) torque. The V6 includes automatic stop-start and cylinder deactivation to improve fuel economy.",,
,,,Trim levels,Engine,,,GM 9-speed Hydramatic 9T65 (2020–),",985–4,113 lb (1,808–1,866 kg) (FWD)",,,,,,,,"The 2017 XT5 is offered in four trim levels. Above the base XT5 are ""Luxury"", ""Premium Luxury"" and range topping ""Platinum"". The base price of the entry front-wheel drive 2017 XT5 at launch was $38,995 in the United States.",Optional six-piston Brembo brakes with red-painted calipers are available.,Optional six-piston Brembo brakes with red-painted calipers are available.,,
,,,"Wheelbase 112.7 in (2,863 mm)",L LGX V6 (US),,,,"The 2017 XT5 is offered in four trim levels. Above the base XT5 are ""Luxury"", ""Premium Luxury"" and range topping ""Platinum"". The base price of the entry front-wheel drive 2017 XT5 at launch was $38,995 in the United States.",,,,,,,,,,,,
