Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
1995,Mazda,Millenia,Millenia,2.3L V6 (V-6 (FFS) (S-CHARGE)),Automatic 4-spd,Front-Wheel Drive,Premium Gasoline,Compact Cars,6,2.3,18,26,21,,,,,
1995,Mazda,Millenia,Millenia,2.5L V6 (V-6 (FFS)),Automatic 4-spd,Front-Wheel Drive,Premium Gasoline,Compact Cars,6,2.5,18,24,20,,,,,
