Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
1989,Nissan,300ZX,300ZX,3.0L V6 ((FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Two Seaters,6,3.0,16,24,19,,,,,,3.0L V6,
1989,Nissan,300ZX,300ZX,"3.0L V6 ((FFS,TRBO))",Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Two Seaters,6,3.0,15,22,18,,,,,,3.0L V6,
1989,Nissan,300ZX,300ZX,"3.0L V6 ((FFS,TRBO))",Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Two Seaters,6,3.0,15,23,18,,,,,,3.0L V6,
1989,Nissan,300ZX,300ZX,3.0L V6 ((FFS)),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Two Seaters,6,3.0,15,23,18,,,,,,3.0L V6,
1989,Nissan,300ZX,2x2,3.0L V6 ((FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Subcompact Cars,6,3.0,16,24,19,,,,,,3.0L V6,
1989,Nissan,300ZX,2x2,3.0L V6 ((FFS)),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Subcompact Cars,6,3.0,15,23,18,,,,,,3.0L V6,
