Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
2023,Audi,A3,A3,Hybrid 2.0L I4 (SIDI; Mild Hybrid),Automatic (AM-S7),Front-Wheel Drive,Regular Gasoline,Subcompact Cars,4,2.0,28,38,32,,,,,,2.0L I4 Turbo,Turbocharged
2023,Audi,A3,quattro,Hybrid 2.0L I4 (SIDI; Mild Hybrid),Automatic (AM-S7),All-Wheel Drive,Regular Gasoline,Subcompact Cars,4,2.0,27,35,30,,,,,,2.0L I4 Turbo,Turbocharged
