Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
2024,Mercedes-Benz,GLA-Class,AMG GLA35 4matic,Hybrid 2.0L I4 (SIDI; Mild Hybrid),Automatic (AM8),All-Wheel Drive,Premium Gasoline,Small Station Wagons,4,2.0,22,28,24,,,,,,2.0L I4 Turbo,Turbocharged
2024,Mercedes-Benz,GLA-Class,GLA250,Hybrid 2.0L I4 (SIDI; Mild Hybrid),Automatic (AM8),Front-Wheel Drive,Premium Gasoline,Special Purpose Vehicle 2WD,4,2.0,25,34,28,,,,,,2.0L I4 Turbo,Turbocharged
2024,Mercedes-Benz,GLA-Class,GLA250 4matic,Hybrid 2.0L I4 (SIDI; Mild Hybrid),Automatic (AM8),All-Wheel Drive,Premium Gasoline,Small Sport Utility Vehicle 4WD,4,2.0,24,32,27,,,,,,2.0L I4 Turbo,Turbocharged
