Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
1985,Buick,Riviera,Convertible,5.0L V8 ((GM-OLDS) (FFS) CA model),Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,8,5.0,15,21,17,,,,,
1985,Buick,Riviera,Riviera,5.0L V8 ((GM-OLDS) (FFS) CA model),Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,8,5.0,15,21,17,,,,,
1985,Buick,Riviera,Convertible,"3.8L V6 ((FFS,TRBO))",Automatic 4-spd,Front-Wheel Drive,Premium Gasoline,Compact Cars,6,3.8,14,22,17,,,,,
1985,Buick,Riviera,Convertible,5.0L V8 ((GM-OLDS) (FFS)),Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,8,5.0,15,20,17,,,,,
1985,Buick,Riviera,Riviera,"3.8L V6 ((FFS,TRBO))",Automatic 4-spd,Front-Wheel Drive,Premium Gasoline,Midsize Cars,6,3.8,15,22,17,,,,,
1985,Buick,Riviera,Riviera,5.0L V8 ((GM-OLDS) (FFS)),Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,8,5.0,15,20,17,,,,,
1985,Buick,Riviera,Riviera,Diesel 5.7L V8 ((350 V8)) Diesel,Automatic 4-spd,Front-Wheel Drive,Diesel,Midsize Cars,8,5.7,18,26,21,,,,,
