Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
2008,Mercedes-Benz,G-Class,G500,5.0L V8,Automatic 7-spd,All-Wheel Drive,Premium Gasoline,Sport Utility Vehicle - 4WD,8,5.0,12,15,13,,,,,,5.0L V8 Turbo,Turbocharged
2008,Mercedes-Benz,G-Class,G55 AMG,5.4L V8,Automatic 5-spd,All-Wheel Drive,Premium Gasoline,Sport Utility Vehicle - 4WD,8,5.4,11,13,12,,,,,,5.4L V8 Turbo,Turbocharged
