Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
2008,Mitsubishi,Raider Pickup,2WD,3.7L V6,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,6,3.7,15,20,17,,,,,,3.7L V6,
2008,Mitsubishi,Raider Pickup,2WD,3.7L V6,Manual 6-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,6,3.7,16,20,18,,,,,,3.7L V6,
2008,Mitsubishi,Raider Pickup,4WD,3.7L V6,Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,6,3.7,14,18,15,,,,,,3.7L V6,
2008,Mitsubishi,Raider Pickup,2WD,4.7L V8,Automatic 5-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,8,4.7,14,19,15,,,,,,4.7L V8,
2008,Mitsubishi,Raider Pickup,4WD,4.7L V8,Automatic 5-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,8,4.7,14,19,15,,,,,,4.7L V8,
2008,Mitsubishi,Raider Pickup,2WD,FFV 4.7L V8 (GAS 330),Automatic 5-spd,Rear-Wheel Drive,Regular Gasoline / E85,Standard Pickup Trucks 2WD,8,4.7,14,19,15,,,,,,4.7L V8,
2008,Mitsubishi,Raider Pickup,4WD,FFV 4.7L V8 (GAS 330),Automatic 5-spd,All-Wheel Drive,Regular Gasoline / E85,Standard Pickup Trucks 4WD,8,4.7,14,19,15,,,,,,4.7L V8,
