Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2023,Land Rover,Discovery,Discovery,2.0L I4 (SIDI),Automatic (S8),Four-Wheel Drive,Premium Gasoline,Standard Sport Utility Vehicle 4WD,4,2.0,19,22,21,,,,,
2023,Land Rover,Discovery,MHEV,Hybrid 3.0L V6 (SIDI; Mild Hybrid),Automatic (S8),Four-Wheel Drive,Premium Gasoline,Standard Sport Utility Vehicle 4WD,6,3.0,19,25,22,,,,,
2023,Land Rover,Discovery,Sport,2.0L I4 (SIDI),Automatic (S9),All-Wheel Drive,Premium Gasoline,Small Sport Utility Vehicle 4WD,4,2.0,19,23,20,,,,,
