Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
2024,BMW,X6,xDrive40i,Hybrid 3.0L V6 (SIDI & PFI; Mild Hybrid),Automatic (S8),All-Wheel Drive,Premium Gasoline,Standard Sport Utility Vehicle 4WD,6,3.0,23,26,24,,,,,,3.0L I6 Turbo,Turbocharged
2024,BMW,X6,M60i xDrive,Hybrid 4.4L V8 (SIDI; Mild Hybrid),Automatic (S8),All-Wheel Drive,Premium Gasoline,Standard Sport Utility Vehicle 4WD,8,4.4,17,22,19,,,,,,4.4L V8 Twin Turbo,Twin Turbocharged
2024,BMW,X6,M Competition,Hybrid 4.4L V8 (SIDI; Mild Hybrid),Automatic (S8),All-Wheel Drive,Premium Gasoline,Standard Sport Utility Vehicle 4WD,8,4.4,13,18,15,,,,,,4.4L V8 Twin Turbo,Twin Turbocharged
