Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
1987,Subaru,XT,-DL,1.8L I4 ((C-ENGINE) (FFS) (MPFI)),Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Two Seaters,4,1.8,22,29,25,,,,,
1987,Subaru,XT,-DL,1.8L I4 ((FFS) (MPFI)),Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Two Seaters,4,1.8,22,29,25,,,,,
1987,Subaru,XT,XT,1.8L I4 ((FFS) (MPFI)),Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,4,1.8,21,24,23,,,,,
1987,Subaru,XT,XT,"1.8L I4 ((B-ENGINE) (FFS,TRBO))",Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,4,1.8,19,22,20,,,,,
1987,Subaru,XT,XT,"1.8L I4 ((A-ENGINE) (FFS,TRBO))",Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,4,1.8,19,27,22,,,,,
1987,Subaru,XT,XT,1.8L I4 ((C-ENGINE) (FFS) (MPFI)),Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,4,1.8,21,28,23,,,,,
1987,Subaru,XT,XT,"1.8L I4 ((A-ENGINE) (FFS,TRBO))",Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,4,1.8,21,26,23,,,,,
1987,Subaru,XT,XT,"1.8L I4 ((B-ENGINE) (FFS,TRBO))",Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,4,1.8,21,26,23,,,,,
1987,Subaru,XT,XT,1.8L I4 ((FFS) (MPFI)),Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,4,1.8,22,29,25,,,,,
1987,Subaru,XT,XT,1.8L I4 ((C-ENGINE) (FFS) (MPFI)),Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,4,1.8,22,29,25,,,,,
1987,Subaru,XT,4WD,"1.8L I4 ((B-ENGINE) (FFS,TRBO))",Automatic 3-spd,All-Wheel Drive,Regular Gasoline,Subcompact Cars,4,1.8,19,22,20,,,,,
1987,Subaru,XT,4WD,"1.8L I4 ((A-ENGINE) (FFS,TRBO))",Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Subcompact Cars,4,1.8,19,26,22,,,,,
1987,Subaru,XT,4WD,1.8L I4 ((C-ENGINE) (FFS) (MPFI)),Manual 5-spd,All-Wheel Drive,Regular Gasoline,Subcompact Cars,4,1.8,21,26,23,,,,,
1987,Subaru,XT,4WD,"1.8L I4 ((A-ENGINE) (FFS,TRBO))",Manual 5-spd,All-Wheel Drive,Regular Gasoline,Subcompact Cars,4,1.8,19,23,21,,,,,
1987,Subaru,XT,4WD,"1.8L I4 ((B-ENGINE) (FFS,TRBO))",Manual 5-spd,All-Wheel Drive,Regular Gasoline,Subcompact Cars,4,1.8,21,25,22,,,,,
