Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
2008,Lotus,Elise/Exige,Elise/Exige,1.8L I4,Manual 6-spd,Rear-Wheel Drive,Regular Gasoline,Two Seaters,4,1.8,21,27,23,,,,,,1.8L I4,
2008,Lotus,Elise/Exige,Elise/Exige,1.8L I4,Manual 6-spd,Rear-Wheel Drive,Regular Gasoline,Two Seaters,4,1.8,20,26,22,,,,,,1.8L I4,
