Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
,,,,kW (137 hp; 139 PS) (1.2 L),,,,,,,
,,,,kW (155 hp; 157 PS) (1.3 L),,,,,,,
