Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2021,Audi,Q5,Q5,Hybrid 2.0L I4 (SIDI; Mild Hybrid),Automatic (AM-S7),All-Wheel Drive,Premium Gasoline,Small Sport Utility Vehicle 4WD,4,2.0,23,28,25,,,,,
2021,Audi,Q5,Q5,Plug-in Hybrid 2.0L I4 (SIDI; PHEV),Automatic (AM-S7),All-Wheel Drive,Premium Gasoline / Electricity,Small Sport Utility Vehicle 4WD,4,2.0,25,29,27,,,,,
2021,Audi,Q5,Sportback,Hybrid 2.0L I4 (SIDI; Mild Hybrid),Automatic (AM-S7),All-Wheel Drive,Premium Gasoline,Small Sport Utility Vehicle 4WD,4,2.0,23,28,25,,,,,
