Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
1991,Wallace Environmental,Wetl 560,SL,5.6L V8 ((GUZZLER) (FFS)),Automatic 4-spd,Rear-Wheel Drive,Premium Gasoline,Two Seaters,8,5.6,11,15,13,,,,,
1991,Wallace Environmental,Wetl 560,SEC,5.6L V8 ((GUZZLER) (FFS)),Automatic 4-spd,Rear-Wheel Drive,Premium Gasoline,Compact Cars,8,5.6,11,15,13,,,,,
1991,Wallace Environmental,Wetl 560,SEL,5.6L V8 ((GUZZLER) (FFS)),Automatic 4-spd,Rear-Wheel Drive,Premium Gasoline,Midsize Cars,8,5.6,11,15,13,,,,,
