Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
1998,Bentley,Brooklands,R,6.7L V8 (L410MT2),Automatic 4-spd,Rear-Wheel Drive,Premium Gasoline,Midsize Cars,8,6.7,10,15,12,,,,,
1998,Bentley,Brooklands,R Limo,6.7L V8 (L410MT2),Automatic 4-spd,Rear-Wheel Drive,Premium Gasoline,Large Cars,8,6.7,9,13,11,,,,,
