Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
1989,Rolls-Royce,Corniche/Continental,Continental,6.8L V8 ((GUZZLER) (FFS) (MPFI)),Automatic 3-spd,Rear-Wheel Drive,Regular Gasoline,Subcompact Cars,8,6.8,9,11,10,,,,,
1989,Rolls-Royce,Corniche/Continental,Corniche II,6.8L V8 ((GUZZLER) (FFS) (MPFI)),Automatic 3-spd,Rear-Wheel Drive,Regular Gasoline,Subcompact Cars,8,6.8,9,11,10,,,,,
