Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
2024,Mercedes-Benz,C-Class,C300,Hybrid 2.0L I4 (SIDI; Mild Hybrid),Automatic 9-spd,Rear-Wheel Drive,Premium Gasoline,Compact Cars,4,2.0,26,36,30,,,,,,2.0L I4 Turbo,Turbocharged
2024,Mercedes-Benz,C-Class,C300 4matic,Hybrid 2.0L I4 (SIDI; Mild Hybrid),Automatic 9-spd,All-Wheel Drive,Premium Gasoline,Compact Cars,4,2.0,23,33,27,,,,,,2.0L I4 Turbo,Turbocharged
2024,Mercedes-Benz,C-Class,AMG C43 4matic,Hybrid 2.0L I4 (SIDI; Mild Hybrid),Automatic 9-spd,All-Wheel Drive,Premium Gasoline,Compact Cars,4,2.0,20,28,23,,,,,,2.0L I4 Turbo,Turbocharged
