Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
2024,Land Rover,Range Rover,Evoque,2.0L I4 (SIDI),Automatic (S9),All-Wheel Drive,Premium Gasoline,Small Sport Utility Vehicle 4WD,4,2.0,20,27,22,,,,,,2.0L I4 Turbo,Turbocharged
2024,Land Rover,Range Rover,Velar,2.0L I4 (SIDI),Automatic (S8),All-Wheel Drive,Premium Gasoline,Small Sport Utility Vehicle 4WD,4,2.0,22,26,23,,,,,,2.0L I4 Turbo,Turbocharged
2024,Land Rover,Range Rover,Velar P400 MHEV,Hybrid 3.0L V6 (SIDI; Mild Hybrid),Automatic (S8),Four-Wheel Drive,Premium Gasoline,Small Sport Utility Vehicle 4WD,6,3.0,19,25,21,,,,,,3.0L V6 Turbo,Turbocharged
2024,Land Rover,Range Rover,Velar P340 MHEV,Hybrid 3.0L V6 (SIDI; Mild Hybrid),Automatic (S8),Four-Wheel Drive,Premium Gasoline,Small Sport Utility Vehicle 4WD,6,3.0,19,26,22,,,,,,3.0L V6 Turbo,Turbocharged
2024,Land Rover,Range Rover,MHEV,Hybrid 4.4L V8 (SIDI; Mild Hybrid),Automatic (S8),Four-Wheel Drive,Premium Gasoline,Standard Sport Utility Vehicle 4WD,8,4.4,16,23,19,,,,,,4.4L V8 Twin Turbo,Twin Turbocharged
2024,Land Rover,Range Rover,LWB MHEV,Hybrid 4.4L V8 (SIDI; Mild Hybrid),Automatic (S8),Four-Wheel Drive,Premium Gasoline,Standard Sport Utility Vehicle 4WD,8,4.4,16,22,18,,,,,,4.4L V8 Twin Turbo,Twin Turbocharged
2024,Land Rover,Range Rover,Sport MHEV,Hybrid 4.4L V8 (SIDI; Mild Hybrid),Automatic (S8),Four-Wheel Drive,Premium Gasoline,Standard Sport Utility Vehicle 4WD,8,4.4,16,23,19,,,,,,4.4L V8 Twin Turbo,Twin Turbocharged
2024,Land Rover,Range Rover,Sport SVR MHEV,Hybrid 4.4L V8 (SIDI; Mild Hybrid),Automatic (S8),Four-Wheel Drive,Premium Gasoline,Standard Sport Utility Vehicle 4WD,8,4.4,16,22,18,,,,,,4.4L V8 Twin Turbo,Twin Turbocharged
2024,Land Rover,Range Rover,SV MHEV,Hybrid 4.4L V8 (SIDI; Mild Hybrid),Automatic (S8),Four-Wheel Drive,Premium Gasoline,Standard Sport Utility Vehicle 4WD,8,4.4,16,22,18,,,,,,4.4L V8 Twin Turbo,Twin Turbocharged
2024,Land Rover,Range Rover,SV LWB MHEV,Hybrid 4.4L V8 (SIDI; Mild Hybrid),Automatic (S8),Four-Wheel Drive,Premium Gasoline,Standard Sport Utility Vehicle 4WD,8,4.4,16,22,18,,,,,,4.4L V8 Twin Turbo,Twin Turbocharged
2024,Land Rover,Range Rover,P360 MHEV,Hybrid 3.0L V6 (SIDI; Mild Hybrid),Automatic (S8),Four-Wheel Drive,Premium Gasoline,Standard Sport Utility Vehicle 4WD,6,3.0,17,24,20,,,,,,3.0L V6 Turbo,Turbocharged
2024,Land Rover,Range Rover,P400 MHEV,Hybrid 3.0L V6 (SIDI; Mild Hybrid),Automatic (S8),Four-Wheel Drive,Premium Gasoline,Standard Sport Utility Vehicle 4WD,6,3.0,18,24,20,,,,,,3.0L V6 Turbo,Turbocharged
2024,Land Rover,Range Rover,P400 LWB MHEV,Hybrid 3.0L V6 (SIDI; Mild Hybrid),Automatic (S8),Four-Wheel Drive,Premium Gasoline,Standard Sport Utility Vehicle 4WD,6,3.0,18,24,20,,,,,,3.0L V6 Turbo,Turbocharged
2024,Land Rover,Range Rover,P360 LWB MHEV,Hybrid 3.0L V6 (SIDI; Mild Hybrid),Automatic (S8),Four-Wheel Drive,Premium Gasoline,Standard Sport Utility Vehicle 4WD,6,3.0,17,24,20,,,,,,3.0L V6 Turbo,Turbocharged
2024,Land Rover,Range Rover,Sport P360 MHEV,Hybrid 3.0L V6 (SIDI; Mild Hybrid),Automatic (S8),Four-Wheel Drive,Premium Gasoline,Standard Sport Utility Vehicle 4WD,6,3.0,18,24,21,,,,,,3.0L V6 Turbo,Turbocharged
2024,Land Rover,Range Rover,Sport P400 MHEV,Hybrid 3.0L V6 (SIDI; Mild Hybrid),Automatic (S8),Four-Wheel Drive,Premium Gasoline,Standard Sport Utility Vehicle 4WD,6,3.0,19,25,21,,,,,,3.0L V6 Turbo,Turbocharged
