Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2016,Scion,iA,iA,1.5L I4 (SIDI),Manual 6-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,4,1.5,31,40,34,,,,,
2016,Scion,iA,iA,1.5L I4 (SIDI),Automatic (S6),Front-Wheel Drive,Regular Gasoline,Subcompact Cars,4,1.5,32,41,36,,,,,
