Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2020,Acura,RDX,"Wheelbase 104.3 in (2,649 mm)","Layout Front engine, front-wheel-drive, all-wheel-drive (SH-AWD)",,,Transmission 5-speed automatic,"Layout Front engine, front-wheel-drive, all-wheel-drive (SH-AWD)",,,,,,,,"The first-generation RDX is powered by a 2.3-liter straight-4 turbocharged gasoline engine, rated at 240 bhp (179 kW; 243 PS) at 6,000 rpm with a torque peak of 260 ft⋅lbf (350 N⋅m) at 4,500 rpm. At the time, this was uncommon among Honda vehicles.","The facelifted model went on sale in August 2009 for the 2010 model year, which","The facelifted model went on sale in August 2009 for the 2010 model year, which featured the addition of Acura's ""power plenum"" grille and a front-wheel drive option.",Packages Technology Package 19-inch Pewter Gray Metallic Machine-Finished Split 5-Spoke Wh,"Packages Technology Package 19-inch Pewter Gray Metallic Machine-Finished Split 5-Spoke Wheels Sport Seats with Perforated Milano Premium Leather-Trimmed Interior with Contrast Stitching 2020 Acura RDX Specs, Features & Options Here's everything you need to know about each trim in the 2020 Acura RDX lineup."
,,,Headlights (varies by trim/option) Good Acceptable,"Layout Front engine, front-wheel drive, all-wheel drive",,,"The 2019 Acura RDX is equipped with a 10-speed automatic transmission with steering wheel-mounted paddle shifters. According to Honda, this allows the RDX to take the turbocharged engine to its maximum capabilities during low-end torque.",",838 lb (1,741 kg) (AWD)",,,,,,,,,"This package included Acura's navigation system, a backup camera, XM Nav-Traffic","This package included Acura's navigation system, a backup camera, XM Nav-Traffic real-time traffic monitoring, and Zagat restaurant reviews.",,
,,,Motorsport,Engine 3.0 L J30Y1 V6 (China Only),,,,Rollover FWD: / 16.4%,,,,,,,,,The package also featured a 10-speaker ELS Surround audio system with DTS and Do,The package also featured a 10-speaker ELS Surround audio system with DTS and Dolby Pro Logic II surround sound.,,
,,,Authority control databases: National,L J35Z2 V6,,,,Rollover AWD: / 15.5%,,,,,,,,,"Standard safety features include six airbags, including dual front airbags, fron","Standard safety features include six airbags, including dual front airbags, front side airbags, and dual-side curtain airbags.",,
,,,,"Layout Front engine, front-wheel drive / all-wheel drive (SH-AWD)",,,,"Layout Front engine, front-wheel drive / all-wheel drive (SH-AWD)",,,,,,,,,"A 5-inch display, tri-angle rear-view backup camera are standard, as well as key","A 5-inch display, tri-angle rear-view backup camera are standard, as well as keyless entry with push-button start.",,
,,,,Engine 2.0 L K20C4 (turbo),,,,"Curb weight 3,783–3,829 lb (1,716–1,737 kg)(FWD)",,,,,,,,,"Also, standard Bluetooth hands-free calling and Pandora music can be streamed wi","Also, standard Bluetooth hands-free calling and Pandora music can be streamed wirelessly into the audio system.",,
,,,,"The 2019 Acura RDX is equipped with a 10-speed automatic transmission with steering wheel-mounted paddle shifters. According to Honda, this allows the RDX to take the turbocharged engine to its maximum capabilities during low-end torque.",,,,",019–4,068 lb (1,823–1,845 kg)(AWD)",,,,,,,,,"When upgrading to the Technology package, a power tailgate is included, along","When upgrading to the Technology package, a power tailgate is included, along with an upgraded 60-gigabyte hard disc (HDD) based navigation system with 8-inch screen, this system enables 15GB of music to be stored.",,
,,,,"As of January 2026, the fourth generation RDX will arrive ""in the next couple of years"" and features hybrid powertrain.",,,,SH-AWD,,,,,,,,,"The exterior adds LED headlamps (low and high beams, DRL pipe and amber turn sig","The exterior adds LED headlamps (low and high beams, DRL pipe and amber turn signals) and LED taillamps.",,
,,,,,,,,,,,,,,,,,Packages Technology Package 19-inch Pewter Gray Metallic Machine-Finished Split,"Packages Technology Package 19-inch Pewter Gray Metallic Machine-Finished Split 5-Spoke Wheels Sport Seats with Perforated Milano Premium Leather-Trimmed Interior with Contrast Stitching 2020 Acura RDX Specs, Features & Options Here's everything you need to know about each trim in the 2020 Acura RDX lineup.",,
,,,,,,,,,,,,,,,,,"For the past several generations, the luxury SUV has been available with a singl","For the past several generations, the luxury SUV has been available with a single trim, although there are three optional package upgrades to take advantage of.",,
,,,,,,,,,,,,,,,,,"The 2020 Acura RDX looks to be no different, with the Standard, Technology, A-Sp","The 2020 Acura RDX looks to be no different, with the Standard, Technology, A-Spec ...",,
,,,,,,,,,,,,,,,,,"May 1, 2019 2020 Acura RDX Specifications & Features Standard equipment includes","May 1, 2019 2020 Acura RDX Specifications & Features Standard equipment includes the features that come with this vehicle.",,
,,,,,,,,,,,,,,,,,Select Your Options Choose options to include in this vehicle value.,Select Your Options Choose options to include in this vehicle value.,,
,,,,,,,,,,,,,,,,,"For the most accurate pricing and values on new or used vehicles, select the opt","For the most accurate pricing and values on new or used vehicles, select the optional features on the vehicle.",,
,,,,,,,,,,,,,,,,,Latest technology in the 2020 Acura RDX: Compare all specifications and configur,"Latest technology in the 2020 Acura RDX: Compare all specifications and configurations of the 2020 Acura RDX, special features and options, and check out specs and trims on CarBuzz",,
