Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2004,Porsche,Turbo 4 911 Kit,Turbo 4 911 Kit,3.6L V6,3.6L V6 Twin Turbo,Twin Turbocharged,Automatic 5-spd,All-Wheel Drive,Premium Gasoline,Minicompact Cars,6,3.6,13,20,16,,,,,
2004,Porsche,Turbo 4 911 Kit,Turbo 4 911 Kit,3.6L V6,3.6L V6 Twin Turbo,Twin Turbocharged,Manual 6-spd,All-Wheel Drive,Premium Gasoline,Minicompact Cars,6,3.6,13,20,16,,,,,
