Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2025,Alfa Romeo,Tonale,"Wheelbase 2,637 mm (103.8 in)","Layout Front-engine, front-wheel-drive or all-wheel-drive",,,Transmission,Hybrid drivetrain,,,,,,,,"The Hornet was released in August 2022 for the U.S. and Canada, and is Dodge's first compact SUV since the discontinuation of the Jeep Liberty-based Dodge Nitro in 2011. Compared to the North American Tonale, the Hornet received a restyled front end, headlights, and taillights.",The plug-in hybrid version has less boot space than the non-plug-in version.,"The plug-in hybrid version has less boot space than the non-plug-in version. North America The Tonale for Canada will be released for the 2023 model year, with the option of a 2.0 L petrol turbocharged engine or a 1.3 L petrol plug-in hybrid engine. In the U.S.",The 2025 Alfa Romeo Tonale evolves from three trims to one core version with available Vel,"The 2025 Alfa Romeo Tonale evolves from three trims to one core version with available Veloce, Active Assist and Premium packages and additional options for simplified ordering."
,,,,L GME T4 turbo I4,,,speed Alfa Romeo TCT dual-clutch automatic,,,,,,,,,,Complete package information is listed at the end of the Feature Availability se,Complete package information is listed at the end of the Feature Availability section.,,
,,,,Petrol/electric mild hybrid:,,,speed ZF 9HP automatic (2.0),,,,,,,,,,"For an in-depth overview of the 2025 Alfa Romeo Tonale and its key features, inc","For an in-depth overview of the 2025 Alfa Romeo Tonale and its key features, including engine specifications, interior amenities, exterior color options, and more, please refer to our Tonale review.",,
,,,,L GSE Firefly turbo I4,,,,,,,,,,,,,"For an exhuastive look at all 2025 Alfa Romeo Tonale specs, features and options","For an exhuastive look at all 2025 Alfa Romeo Tonale specs, features and options, check out Kelley Blue Book's specs page.",,
,,,,Petrol plug-in hybrid:,,,,,,,,,,,,,2025 Alfa Romeo Tonale Configurations Select up to 3 trims below to compare some,2025 Alfa Romeo Tonale Configurations Select up to 3 trims below to compare some key specs and options for the 2025 Alfa Romeo Tonale.,,
,,,,L GSE turbo I4,,,,,,,,,,,,,Latest technology in the 2025 Alfa Romeo Tonale: Compare all specifications and,"Latest technology in the 2025 Alfa Romeo Tonale: Compare all specifications and configurations of the 2025 Alfa Romeo Tonale, special features and options, and check out specs and trims on CarBuzz Compare 2025 Alfa Romeo Tonale trims side by side to find the right vehicle for you.",,
,,,,Diesel:,,,,,,,,,,,,,The 2025 Alfa Romeo Tonale evolves from three trims to one core version with ava,"The 2025 Alfa Romeo Tonale evolves from three trims to one core version with available Veloce, Active Assist and Premium packages and additional options for simplified ordering.",,
,,,,L Multijet turbo I4,,,,,,,,,,,,,Page 2 This Owner Handbook illustrates and describes the operation of features a,Page 2 This Owner Handbook illustrates and describes the operation of features and equipment that are either standard or optional on this vehicle.,,
,,,,Electric motor,,,,,,,,,,,,,"Explore its interior, hybrid and gas engine options, infotainment system, and mo","Explore its interior, hybrid and gas engine options, infotainment system, and more.",,
,,,,kW (20 hp; 20 PS) 48-volt P2 (MHEV),,,,,,,,,,,,,Standard equipment includes the features that come with this vehicle.,Standard equipment includes the features that come with this vehicle.,,
,,,,kW (60 hp; 61 PS) FCA eMotor (4xe),,,,,,,,,,,,,Select Your Options Choose options to include in this vehicle value.,Select Your Options Choose options to include in this vehicle value.,,
,,,,kW (121 hp; 122 PS) FCA eMotor (4xe),,,,,,,,,,,,,"For the most accurate pricing and values on new or used vehicles, select the opt","For the most accurate pricing and values on new or used vehicles, select the optional features on the vehicle.",,
,,,,kW (127 hp; 129 PS) (Hybrid),,,,,,,,,,,,,"Sep 25, 2024The 2025 Alfa Romeo Tonale evolves from three trims to one core vers","Sep 25, 2024The 2025 Alfa Romeo Tonale evolves from three trims to one core version with available Veloce, Active Assist and Premium packages and additional options for simplified ordering.",,
,,,,kW (157 hp; 159 PS) (Hybrid VGT),,,,,,,,,,,,,,,,
