Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2022,Hyundai,Tucson,FWD,2.5L I4 (SIDI & PFI),2.5L I4,,Automatic (S8),Front-Wheel Drive,Regular Gasoline,Small Sport Utility Vehicle 2WD,4,2.5,26,33,29,,,,,
2022,Hyundai,Tucson,AWD,2.5L I4 (SIDI & PFI),2.5L I4,,Automatic (S8),All-Wheel Drive,Regular Gasoline,Small Sport Utility Vehicle 4WD,4,2.5,24,29,26,,,,,
2022,Hyundai,Tucson,Hybrid,Hybrid 1.6L I4 (SIDI; Hybrid),1.6L I4 Turbo,Turbocharged,Automatic (AM-S6),All-Wheel Drive,Regular Gasoline,Small Sport Utility Vehicle 4WD,4,1.6,37,36,37,,,,,
2022,Hyundai,Tucson,Hybrid Blue,Hybrid 1.6L I4 (SIDI; Hybrid),1.6L I4 Turbo,Turbocharged,Automatic (AM-S6),All-Wheel Drive,Regular Gasoline,Small Sport Utility Vehicle 4WD,4,1.6,38,38,38,,,,,
2022,Hyundai,Tucson,Plug-in Hybrid,Plug-in Hybrid 1.6L I4 (SIDI; PHEV),1.6L I4,,Automatic (AM-S6),All-Wheel Drive,Regular Gasoline / Electricity,Small Sport Utility Vehicle 4WD,4,1.6,35,35,35,,,,,
