Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2012,Hyundai,Veloster,Veloster,1.6L I4 (SIDI),1.6L I4 Turbo,Turbocharged,Manual 6-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,4,1.6,27,37,31,,,,,
2012,Hyundai,Veloster,Veloster,1.6L I4 (SIDI),1.6L I4 Turbo,Turbocharged,Automatic (AM6),Front-Wheel Drive,Regular Gasoline,Compact Cars,4,1.6,27,35,30,,,,,
