Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2023,Toyota,4Runner,Toyota 4Runner TRD Sport (N500),"Front-engine, rear-wheel-drive",Transmission 5-speed L52 manual,Runner (N60) drivetrain options,Predecessor: Toyota Trekker (N30; 1981–1983),"Most turbocharged 4Runners were equipped with the SR5 package, and all turbo tru","Most turbocharged 4Runners were equipped with the SR5 package, and all turbo trucks had as standard a heavier rear differential later used in the V6 model.",,
,,,"Wheelbase 2,596 mm (102.2 in)","Front-engine, four-wheel-drive",Transmission,Hilux Surf/4Runner (N130) drivetrain options,"The Hilux Surf was offered in two trim lines (SR and SSR), with either a 2.0 L 3Y gasoline or 2.4 L 2L diesel engine.",Low-option models had a small light in the gauge cluster to indicate turbo boost,"Low-option models had a small light in the gauge cluster to indicate turbo boost, while more plush vehicles were equipped with an all-digital gauge cluster that included a boost gauge.: 76 Turbocharged and naturally aspirated 2.4 L 2L-T and 2L diesel engines were also available in the pickups at this time as well,: 1–9 but it appears that no diesel-powered 4Runners were imported to the United States.",,
,,,"Wheelbase 2,616 mm (103.0 in)",Engine,speed manual,Drivetrain,"Additional cosmetic changes occurred between 1993 and 1995, the last year of the second generation.",4Runner (N60) drivetrain options MY Engine 84 85 86 87 88 89 22R I4 Yes No N,"4Runner (N60) drivetrain options MY Engine 84 85 86 87 88 89 22R I4 Yes No No No No No 22R-E I4 No Yes Yes Yes Yes Yes 22R-TE I4 turbo No No Yes Yes No No 3VZ-E V6 No No No No Yes Yes Transmissions 5M Yes 4A No No changes were made for the 1987 model year. In 1988, the 22R-TE engine was replaced by an optional 3.0 L V6 engine, the 145 hp (108 kW) 3VZ-E, available with the SR5 trim package;: 164 the standard engine remained the 22R-E.",,
,,,"The Hilux Surf was offered in two trim lines (SR and SSR), with either a 2.0 L 3Y gasoline or 2.4 L 2L diesel engine.",Power output 96–100 hp (97–101 PS; 72–75 kW),speed automatic,(JDM) 5dr 4WD[a] No No No No No No Yes No No —,The third generation 4Runner featured new engines shared with the first generation Toyota Tacoma pickup trucks:,"By this time, the SR5 package added automatic locking front hubs for both the I4","By this time, the SR5 package added automatic locking front hubs for both the I4 and V6 engines.: 160 The V6 engine was significantly larger and more powerful although not as reliable as the original 4-cylinder offering.",,
,,,"Wheelbase 2,625 mm (103.3 in)",L 22R-TE turbo I4,Transmissions 5M Yes,(JDM) 3dr 4WD[b] Maybe[a] Maybe[e] Yes Maybe[c] ? ? No No No —,"In 1996, the 4Runner was dropped from sale in the UK, to be replaced by the Toyota Land Cruiser Prado, which was badged as the Toyota Land Cruiser Colorado.","Small cosmetic and option changes were made in 1988 for the 1989 model year, but","Small cosmetic and option changes were made in 1988 for the 1989 model year, but the model was left largely untouched in anticipation of the replacement model then undergoing final development.: 116 Second generation (N120/N130; 1989) This section needs additional citations for verification.",,
,,,Trim,L 3VZ-E V6,speed A340H automatic,dr 4WD Maybe[a] No Yes Maybe[c] ? ? No No No Yes Yes,"In 2008 (for the 2009 model year), the 4Runner remained unchanged. A Trail Edition package offered an electronic locking rear differential, a switch to enable/disable Advanced Traction Control (A-TRAC) and Bilstein dampers.","The Hilux Surf also had as options a Recaro interior, TEMS shocks with a NORMAL","The Hilux Surf also had as options a Recaro interior, TEMS shocks with a NORMAL and HARD setting, a limited slip differential, front bullbars and a swing-out spare tire mounted on the tailgate.",,
,,,SSR Limited[a],Diesel:,speed A340F automatic,(JDM) 5dr 4WD —,Later models offered a DVD Rear Seat Entertainment System (RSES) which used a nine-inch LCD screen and two wireless headphones.,"In the United States, the 4Runner carried over the same engine options from the","In the United States, the 4Runner carried over the same engine options from the previous generation: the 22R-E 2.4 L I4 and 3VZ-E 3.0 L V6. With the V6 and four-speed automatic transmission, the US EPA rated the 4Runner at 15 mpg‑US (16 L/100 km) on the city driving cycle; in testing, 14.28 mpg‑US (16.47 L/100 km) was observed.: 59 The Hilux Surf version for the Japanese market was also available with a range of diesel engines, including a 2.4 L turbodiesel 2L-TE I4 up to 1993, followe",,
,,,Toyota Hilux Sport Rider,"The Hilux Surf was offered in two trim lines (SR and SSR), with either a 2.0 L 3Y gasoline or 2.4 L 2L diesel engine.",speed A3xx automatic,dr 4WD No No Yes Yes ? ? No Yes Yes Yes Yes,"In 2023 (for the 2024 model year), Terra paint (an orange-brown color) is the exclusive color for TRD Pro while Solar Octane carries over to TRD Sport and Off Road Premium trims only.","Maximum towing capacity with the optional V6 increased from 3,500 to 5,000 lb (1","Maximum towing capacity with the optional V6 increased from 3,500 to 5,000 lb (1,590 to 2,270 kg). 1997 Toyota Hilux Surf SSR-X (KZN185) Interior The equivalent Hilux Surf for the Japanese market was sold initially in four distinct trims, each of which used part-time four-wheel drive: SSR (standard body), SSR-X (standard body with luxury equipment), SSR-V (wide body), and SSR-G (wide body with luxury equipment).",,
,,,"Wheelbase 2,675 mm (105.3 in)",R-TE I4 turbo No No Yes Yes No No,speed A7xx automatic,(JDM) 3dr 4WD Yes Yes Yes Maybe[c] ? ? No Yes Yes —,"Like its predecessors, the 4Runner retains the electrically roll-down back window feature. The engineering team managed to retain this feature by evaluating each individual component in the feature mechanism and took opportunities to reduce weight.",Additional standard equipment for 1999 included an electrically heated side-view,Additional standard equipment for 1999 included an electrically heated side-view mirror that operates in conjunction with the rear defrost.,,
,,,Toyota 4Runner trim and drivetrain combinations,VZ-E V6 No No No No Yes Yes,speed automatic (2.7 L),dr 4WD Yes Yes Yes Yes ? ? No Yes Yes,"Some models will be offered with an optional third row seat; because the hybrid drivetrain uses the space beneath the load floor for its high-voltage battery, it is expected the hybrid will not include the third row.","The ""multi-mode"" transfer case system became available as an option for 4WD 4Run","The ""multi-mode"" transfer case system became available as an option for 4WD 4Runners for 1999, giving the option of AWD operation.",,
