Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
,,,,,,,,"Three engine options are available: a 2.0 Skyactiv-G petrol, a 2.5 Skyactiv-G pe","Three engine options are available: a 2.0 Skyactiv-G petrol, a 2.5 Skyactiv-G petrol and a 2.2 Skyactiv-D diesel. The facelifted CX-5 debuted in New Zealand in April 2022, with the addition of the new Activ trim. South Africa The second-generation CX-5 was launched in South Africa on 1 June 2017, with four trim levels: Active, Dynamic, Individual and Akera.",,
,,,,,,,,Wireless compatibility for Android Auto and Apple CarPlay comes standard.[1,"Wireless compatibility for Android Auto and Apple CarPlay comes standard. Tamara Mlynarczyk, manager of public affairs for Mazda North American Operations, explained to Motor1 about the decision to eliminate most traditional controls in the third-generation model was based on an internal study which showed customers preferred to have a large infotainment system: ""Based on customer feedback, we developed a new human-machine interface (HMI) that prioritises ease of use while maintainin",,
,,,,,,,,All Australian-market variants are powered by the 2.5-litre Skyactiv-G petrol (G,"All Australian-market variants are powered by the 2.5-litre Skyactiv-G petrol (G25) produces 132 kW (177 hp; 179 PS) and 242 N⋅m (178 lb⋅ft) and with all-wheel drive is standard. Compared to the previous model, the 2.5-litre Skyactiv-G petrol (G25) produces 8 kW (11 hp; 11 PS) less power and 10 N⋅m (7.4 lb⋅ft) less torque, due to Australia's mandating emissions systems, aligned with the Euro 6d European emission standards.",,
,,,,,,,,"For the Australian market, Mazda chose to not offer the 2.5-litre Skyactiv-G pet","For the Australian market, Mazda chose to not offer the 2.5-litre Skyactiv-G petrol equipped with Mazda's M Hybrid mild hybrid technology because it was compromised for Australian customer needs and the New Vehicle Efficiency Standard (NVES) in Australia for CO2 emissions is different to the European legislation. New Zealand The third-generation CX-5 went on sale in New Zealand on 5 March 2026, with four trim levels: Touring, SP, Homura and Takami.",,
,,,,,,,,4/22 • PRODUCT CHANGES AND OPTIONS AVAILABILITY: Following publication of this b,"4/22 • PRODUCT CHANGES AND OPTIONS AVAILABILITY: Following publication of this brochure, certain changes in standard equipment, options, prices and the like—or product delays—may have ...",,
,,,,,,,,"COMFORT PACKAGE Power glass moonroof with interior sunshade, tilt-up ventilation","COMFORT PACKAGE Power glass moonroof with interior sunshade, tilt-up ventilation and one-touch open, Advanced Keyless Entry, rear passenger vents (back of centre console), automatic dual-zone climate controls, 19-inch alloy wheels (machined spokes with polished finish and dark painted pockets) and Reversible Trunk Board The Mazda CX-5 has been awarded the maximum five-star rating by Euro NCAP.",,
,,,,,,,,With superb safety equipment as standard such as Advanced Smart City Brake Suppo,"With superb safety equipment as standard such as Advanced Smart City Brake Support, Lane-keep Assist System and Lane Departure Warning System, for a more re-assuring drive, everytime.",,
,,,,,,,,"View detailed specs, features and options for the 2022 Mazda CX-5 2.5 S Preferre","View detailed specs, features and options for the 2022 Mazda CX-5 2.5 S Preferred Package AWD at U.S.",,
,,,,,,,,Research 2022 Mazda CX-5 Utility 4D S AWD Price with Options.,Research 2022 Mazda CX-5 Utility 4D S AWD Price with Options.,,
,,,,,,,,"Find your 2022 Mazda CX-5 AWD OE tire size, as well as the optional tire sizes t","Find your 2022 Mazda CX-5 AWD OE tire size, as well as the optional tire sizes that can fit based on different wheel sizes and more.",,
