Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2025,Nissan,Murano,FWD,2.0L I4 (SIDI & PFI),2.0L I4,,Automatic (S9),Front-Wheel Drive,Regular Gasoline,Small Sport Utility Vehicle 2WD,4,2.0,21,27,23,,,,,
2025,Nissan,Murano,AWD,2.0L I4 (SIDI & PFI),2.0L I4,,Automatic (S9),All-Wheel Drive,Regular Gasoline,Small Sport Utility Vehicle 4WD,4,2.0,21,27,23,,,,,
