Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2003,Toyota,MR2,MR2,1.8L I4,1.8L I4,,Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Two Seaters,4,1.8,23,29,25,,,,,
2003,Toyota,MR2,MR2,1.8L I4,1.8L I4,,Manual 6-spd,Rear-Wheel Drive,Regular Gasoline,Two Seaters,4,1.8,22,30,25,,,,,
