Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2020,Audi,A8,L,Hybrid 4.0L V8 (SIDI; Mild Hybrid),4.0L V8 Turbo,Turbocharged,Automatic (S8),All-Wheel Drive,Premium Gasoline,Large Cars,8,4.0,15,23,18,,,,,
2020,Audi,A8,L,Hybrid 3.0L V6 (SIDI; Mild Hybrid),3.0L V6 Turbo,Turbocharged,Automatic (S8),All-Wheel Drive,Premium Gasoline,Large Cars,6,3.0,17,26,21,,,,,
2020,Audi,A8,L,Plug-in Hybrid 3.0L V6 (SIDI; PHEV),3.0L V6,,Automatic (S8),All-Wheel Drive,Premium Gasoline / Electricity,Large Cars,6,3.0,21,27,23,,,,,
