Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2020,Mercedes,A-Class,Sport compact (AMG models),"Front-engine, front-wheel-drive",,,Transmission,"The A-Class is a front wheel drive car and features traction control (ASR) as standard, as well as electronic stability control and anti-lock brakes (ABS).",,,,,,,,"""W168"" redirects here. For the isotope of tungsten (W-168 or 168W), see Tungsten-168.","The fourth generation model (W177), which was launched in 2018, marked the first","The fourth generation model (W177), which was launched in 2018, marked the first time the A-Class was offered in the United States and Canada. This fourth generation A-Class is also the first to be offered both as a hatchback (W177) and sedan (V177). Styled by Steve Mattin and launched at the 1997 Frankfurt Motor Show, the A-Class was noted for its short, narrow footprint, its overall height, and an interior volume and level of equipment competing with larger cars.","Mercedes me connect assist services, and 3 years of Mercedes me connect services are inclu","Mercedes me connect assist services, and 3 years of Mercedes me connect services are included at no additional charge with new-vehicle sales and leases at an authoriz Compare 2020 Mercedes-Benz A-Class trims side by side to find the right vehicle for you."
,,,Wheelbase,"Front-engine, all-wheel-drive (4MATIC, 2013–present)",,,speed manual,,,,,,,,,"A 140 Automatic 2000–2004 M 166 E 16 red. 1598 cm3 60 kW (82 PS; 80 hp) at 5,000 rpm 140 N⋅m (103 lb⋅ft) at 2,500 rpm 166 km/h (103 mph)",It combined an enlarged M166 engine with extensive equipment—including leather/A,"It combined an enlarged M166 engine with extensive equipment—including leather/Alcantara upholstery, an AMG-style body kit, sports suspension, stainless-steel pedals, wide tyres, exclusive 17-inch wheels, and a unique dual-exit stainless-steel exhaust.","The Mercedes-Benz A-Class (2020) prioritizes comfort and luxury, with seating for five pas","The Mercedes-Benz A-Class (2020) prioritizes comfort and luxury, with seating for five passengers and optional upgrades such as heated and ventilated front seats, a panoramic sunroof, and a Burmester surround-sound system."
,,,"Wheelbase 2,568 mm (101.1 in)",L M166 I4 (turbo),,,speed automatic,,,,,,,,,"–2004 OM 668 DE 17 LA red. 55 kW (75 PS; 74 hp) at 3,600 rpm 160 N⋅m (118 lb⋅ft) at 1,500–2,800 rpm 163 km/h (101 mph)",Standard equipment included front as well as combined head and thorax-protection,Standard equipment included front as well as combined head and thorax-protection side airbags.,,
,,,"Handling is improved by precision tracking and anti-roll support, and by a Parabolic Rear Axle.",Diesel:,,,Model Years Configuration Displacement Power Torque 0–100 km/h (0–62 mph) Top Speed Fuel Consumption/Efficiency (EU-Norm combined),,,,,,,,,"For the A-Class, numerous special color tones were developed. The color shade Novaviolet (730) is offered again by Mercedes-Benz as of 2026 as part of its MANUFAKTUR program.",Optionally rear side airbags (for side-impacts in the backseats) and side-curtai,Optionally rear side airbags (for side-impacts in the backseats) and side-curtain airbags were available.,,
,,,Specification W169 (5 door) W168 (long wheelbase) W168 (standard),L OM668 I4 CDI (turbo diesel),,,"A 140 Automatic 2000–2004 M 166 E 16 red. 1598 cm3 60 kW (82 PS; 80 hp) at 5,000 rpm 140 N⋅m (103 lb⋅ft) at 2,500 rpm 166 km/h (103 mph)",,,,,,,,,"Three A-Class F-Cell cars were used in the 2003 Frankfurt International Motor Show for press shuttle service. On 18 June 2004, 4 production F-Cell vehicles were delivered to Deutsche Telekom and BEWAG/Vattenfall Europe in Berlin.",The 'active' head restraints (standard for driver and front passenger) reduce ne,"The 'active' head restraints (standard for driver and front passenger) reduce neck injury, especially in rear collisions.",,
,,,"Wheelbase 2,568 mm (101.1 in) 2,593 mm (102.1 in) 2,423 mm (95.4 in)",Engines,,,A 140 L Automatic 2001–2004,,,,,,,,,"In 2007, the A-Class F-Cell were delivered to Landsvirkjun and Reykjavik Energy.","A continuously variable transmission system called ""Autotronic Constantly Variab","A continuously variable transmission system called ""Autotronic Constantly Variable Transmission"" (CVT) is an optional feature.",,
,,,Roadsters/sports cars,"A 160 1997–2004 M 166 E 16 1598 cm3 75 kW (102 PS; 101 hp) at 5,250 rpm 150 N⋅m (111 lb⋅ft) at 4,000 rpm 182 km/h (113 mph)",,,Workshop manuals,,,,,,,,,"The W169 Model facelift changes included redesigned front and rear fascias and lights, and optional stop-start function on A 150 and 170 models. Active Park Assist enables the car to parallel park itself, with only throttle and brake inputs required from the driver.","Joachim Schmidt, Executive Vice President Sales and Marketing, Mercedes Car Grou","Joachim Schmidt, Executive Vice President Sales and Marketing, Mercedes Car Group, said that target had been reached even before vehicles arrived in dealer showrooms. Japan models went on sale in 2005-02-04.",,
,,,,"A 190 1999–2004 M 166 E 19 1898 cm3 92 kW (125 PS; 123 hp) at 5,500 rpm 180 N⋅m (133 lb⋅ft) at 4,000 rpm 198 km/h (123 mph) 7.5 L/100 km (31 mpg‑US)",,,"Gill, Peter T. (2014). Mercedes-Benz A140 A160 A190 & A210 1998 to 2004 (S to 54 reg) Petrol & Diesel Owners Workshop Manual. Haynes Service and Repair Manual Series. Sparkford, UK: Haynes. ISBN 9780857339522.",,,,,,,,,"As of 1 February 2012, 1 million second generation A-Class vehicles had been delivered since autumn 2004.",(See Vehicle size class#Japan) 2008 update Pre-facelift interior The W16,"(See Vehicle size class#Japan) 2008 update Pre-facelift interior The W169 Model facelift changes included redesigned front and rear fascias and lights, and optional stop-start function on A 150 and 170 models. Active Park Assist enables the car to parallel park itself, with only throttle and brake inputs required from the driver.",,
,,,,,,,,,,,,,,,,,"High-tech options can ease your way in traffic, through a school zone, or into t","High-tech options can ease your way in traffic, through a school zone, or into the next lane.",,
,,,,,,,,,,,,,,,,,"Either way, it's a pretty thorough website, if I'm missing an option code or wan","Either way, it's a pretty thorough website, if I'm missing an option code or want to decode a number, I just open it in a tab and type what I want.",,
