Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2024,Genesis,Tahoe,"The following is a list of Genesis vehicles, including past and present production models, as well as concept vehicles and limited editions.",Electrified G80 2021 RG3 EV 2021 Battery electric sedan based on the G80. 767,X Speedium Coupe 2022 Coupe/GT New York —,,,External links Wikimedia Commons has media related to: Genesis Motor (cate,"External links Wikimedia Commons has media related to: Genesis Motor (category) Genesis worldwide - current lineup show vte Genesis show vte Genesis, a division of Hyundai Motor Group, automobile timeline, 2000s–present","Apr 1, 2024The LT Signature Package, available for the LT trim, takes convenience to new h","Apr 1, 2024The LT Signature Package, available for the LT trim, takes convenience to new heights, with power-release second-row seats and a power liftgate that can be embellished with panoramic power sunroof and 20″ painted aluminum wheels or choose from LPO wheel options."
,,,Electrified G80 2021 RG3 EV 2021 Battery electric sedan based on the G80. 767,"GV60 2021 JW 2021 Battery electric crossover based on the Hyundai E-GMP platform. 4,286",List of Hyundai transmissions,,,We're taking a closer look at the 2024 Chevy Tahoe with the following pricing br,"We're taking a closer look at the 2024 Chevy Tahoe with the following pricing breakdown, including MSRP, powertrain options, packages, paint options, and more.","LS This is the base trim level and includes; LED headlights, 18-inch wheels, eight-passeng","LS This is the base trim level and includes; LED headlights, 18-inch wheels, eight-passenger seating, Apple CarPlay and Android Auto wireless compatibility, 8-inch infotainment touchscreen, six-speaker audio system, front and second-row USB ports, power-adjustable front seats, tri-zone […]"
,,,"Electrified GV70 2022 JK1 EV 2022 Battery electric crossover based on the GV70. 4,153",List of Hyundai engines,,,,"LS This is the base trim level and includes; LED headlights, 18-inch wheels, eig","LS This is the base trim level and includes; LED headlights, 18-inch wheels, eight-passenger seating, Apple CarPlay and Android Auto wireless compatibility, 8-inch infotainment touchscreen, six-speaker audio system, front and second-row USB ports, power-adjustable front seats, tri-zone […]",,
