Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2023,Infiniti,Q50,"Wheelbase 2,850 mm (112.2 in)","Front-engine, rear-wheel-drive",Transmission,"Early US and Canada models include 3.7-liter V6 (333PS), 3.5-liter Hybrid (364 PS), each in a choice of rear-wheel drive or Intelligent All-Wheel Drive and in a selection of trim levels, including Sport models.",Predecessor Infiniti G,"The Thom Browne 2014 Infiniti Q50 includes a chrome body finish, red, white and","The Thom Browne 2014 Infiniti Q50 includes a chrome body finish, red, white and blue stripes from the seats to the floor mats and stitching on the steering wheel.",Each grade is available with INFINITI's Intelligent All-Wheel Drive.,Each grade is available with INFINITI's Intelligent All-Wheel Drive.
,,,,Q50 Hybrid (2014–2018),,,,,,,
