Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
,,,"Wheelbase 2,779 mm (109.4 in)","Front-engine, all-wheel-drive",speed A350E automatic (1996–97),"Rear view of Lexus GS 350 F Sport AWD (GRL16, US)","The redesigned interior gains the Lexus Remote Touch mouse controller system in place of the previous touchscreen, linked to a split-view 12.3 in (310 mm) widescreen dashboard display.","For the interior, the GS 300 featured walnut wood trim on the center console, le","For the interior, the GS 300 featured walnut wood trim on the center console, leather seating, an automatic tilt-and-telescoping steering wheel, and the option of a Nakamichi premium stereo system.",,
,,,"Wheelbase 2,799 mm (110.2 in)",Engine,speed A340E automatic,Chassis code Model no. Model year(s) Drivetrain Transmission Engine type Engine code Region(s),Consumer Reports awarded the Lexus GS as the highest ranked vehicle in predicted reliability in the luxury car class in 2005.,"Driver and front passenger airbags were standard. A moonroof, remote 12-CD a","Driver and front passenger airbags were standard. A moonroof, remote 12-CD auto changer, and traction control (TRAC – left hand drive vehicles only) were options.",,
,,,SportDesign package,L 2JZ-GTE I6 (turbo),speed A341E automatic (JZS161),"GRS190 GS 300 2006–2012 RWD/AWD 6-speed AT 3.0 L gasoline V6 3GR-FSE Australia, China, Europe, Middle East","Kelley Blue Book gave the GS series its Best to Hold Value Award in 1998, 1999, 2000, and 2001.","VVT-i was now standard, resulting in an increase of torque.","VVT-i was now standard, resulting in an increase of torque.",,
