Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2000,Mercedes-Benz,ML-Class,ML320,3.2L V6,Automatic 5-spd,All-Wheel Drive,Premium Gasoline,Sport Utility Vehicle - 4WD,6,3.2,15,18,16,,,,,
2000,Mercedes-Benz,ML-Class,ML430,4.3L V8,Automatic 5-spd,All-Wheel Drive,Premium Gasoline,Sport Utility Vehicle - 4WD,8,4.3,14,17,15,,,,,
2000,Mercedes-Benz,ML-Class,ML55,5.5L V8,Automatic 5-spd,All-Wheel Drive,Premium Gasoline,Sport Utility Vehicle - 4WD,8,5.5,12,16,14,,,,,
