Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2013,Nissan,Altima,Altima,2.5L I4,Automatic (AV-S6),Front-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.5,27,38,31,,,,,
2013,Nissan,Altima,Altima,3.5L V6,Automatic (AV-S6),Front-Wheel Drive,Regular Gasoline,Midsize Cars,6,3.5,22,30,25,,,,,
2013,Nissan,Altima,Coupe,2.5L I4,Automatic (AV-S6),Front-Wheel Drive,Regular Gasoline,Subcompact Cars,4,2.5,23,31,26,,,,,
