Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2022,Cadillac,XT4,"Wheelbase 109.4 in (2,780 mm)","Layout Front-engine, front-wheel-drive or all-wheel-drive",Transmission 9-speed 9T50 automatic,"Curb weight 3,660 lb (1,660 kg) (FWD, est.)",The Cadillac XT4 is a subcompact luxury crossover SUV manufactured by General Motors since the 2019 model year under the luxury Cadillac marque.,,,,
,,,,Diesel:,,,,,,,
