Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2002,Buick,Regal,Regal,3.8L V6 (SUPERCHR),3.8L V6,,Automatic 4-spd,Front-Wheel Drive,Premium Gasoline,Midsize Cars,6,3.8,16,25,19,,,,,
2002,Buick,Regal,Regal,3.8L V6,3.8L V6,,Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,6,3.8,17,27,20,,,,,
