Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2023,Toyota,Supra,Class Sports car/grand tourer (S),"Layout Front-engine, rear-wheel-drive",Transmission,,Predecessor Toyota Celica (A20/A30),"It was available with two straight-six engines and five trim packages, beginning","It was available with two straight-six engines and five trim packages, beginning with the 2600G, 2600S, 2000G, 2000S and the entry-level 2000L.[10] Six exterior body colours were offered, while cloth upholstery patterns were specific to the trim package in burgundy, brown or dark blue.",This advanced technology suite is designed to help you get more from your GR Supra 2.0 and,"This advanced technology suite is designed to help you get more from your GR Supra 2.0 and 3.0 with Safety and Technology Package, 3.0 Premium and A91-MT Edition and includes features like Automatic Emergency Call, Real-Time Traffic Information, Roadside Assistance and the available Supra Connect iPhone app to lock/unlock the ..."
,,,"The Toyota Supra (Japanese: トヨタ・スープラ, Hepburn: Toyota Sūpura) is a sports car and grand tourer manufactured and developed by the Toyota Motor Corporation beginning in 1978. The name ""supra"" is taken from the Latin prefix meaning ""above"", ""to surpass"" or ""go beyond"".[3]",Engine,speed W50 manual,,"The Toyota Supra (Japanese: トヨタ・スープラ, Hepburn: Toyota Sūpura) is a sports car and grand tourer manufactured and developed by the Toyota Motor Corporation beginning in 1978. The name ""supra"" is taken from the Latin prefix meaning ""above"", ""to surpass"" or ""go beyond"".[3]","Leather was offered in brown and only on the ""G"" trim package.","Leather was offered in brown and only on the ""G"" trim package.",,
,,,"Wheelbase 2,630 mm (103.5 in)",Wipers were two-speed with an intermittent wipe and a rear wiper with electric defrost was included.[citation needed],speed A40D automatic,,"Also in 1980 (for the 1981 model year), a new Sports Performance Package became an option, which included sport suspension, raised white letter tyres, and front and rear spoilers. This also marked the last year that an 8-track tape player was offered in any Supra.[6][14]","Aluminium alloy wheels were only offered on the ""G"" trim package.","Aluminium alloy wheels were only offered on the ""G"" trim package.",,
,,,The official Supra site[6] also notes that there was an addition of optional leather-trimmed seating and automatic climate-control.,The Supra was first exported outside Japan in January 1979.[13] The federalized model was originally equipped with a 110 hp (82 kW; 112 PS) 2.6-litre 12-valve SOHC inline-6 engine.,speed A43D automatic,,The second generation of the Supra came in a variety of options around the world as well as only being offered during select years.,"Power windows with driver-side express down, cruise control, power steering, AM/","Power windows with driver-side express down, cruise control, power steering, AM/FM Stereo with a separate cassette player, and rear split folding seats were all standard.",,
,,,"Supra with Sports Performance Package (MA47, US)",Code Year Engine Power Torque Transmission Market,Wipers were two-speed with an intermittent wipe and a rear wiper with electric defrost was included.[citation needed],,"The Supra in Australia was sold from 1983 to 1986 had a digital instrument cluster, fender flares, 14x7-inch wheels, 84 style lights, single piece spoiler, LSD and optional sunroof. This was the only variant and no L Type model was offered.",Transmission options for the model were either a 5-speed manual (W50) or an opti,Transmission options for the model were either a 5-speed manual (W50) or an optional 4-speed automatic transmission (A40D).,,
,,,"Also in 1980 (for the 1981 model year), a new Sports Performance Package became an option, which included sport suspension, raised white letter tyres, and front and rear spoilers. This also marked the last year that an 8-track tape player was offered in any Supra.[6][14]","MA45 Apr 1978 – Aug 1980 1,988 cc (2.0 L; 121.3 cu in) M-EU I6 125 PS (92 kW; 123 hp) 136 lb⋅ft (184 N⋅m) 5-speed W50 manual",The official Supra site[6] also notes that there was an addition of optional leather-trimmed seating and automatic climate-control.,,"In Australia, the Supra (manufactured between 1982 and 1990), was assessed in the Used Car Safety Ratings in 2006 as providing ""worse than average"" protection for its occupants in the event of a crash.",The drivetrain for the Supra retained the T series solid rear axle configuration,The drivetrain for the Supra retained the T series solid rear axle configuration of the Celica in the Japanese MA45 version and a larger F series (and optional limited-slip differential) in the MA46 and MA47.,,
,,,"Wheelbase 2,614 mm (102.9 in)","MA46 Apr 1978 – Aug 1980 2,563 cc (2.6 L; 156.4 cu in) 4M-E I6 140 PS (103 kW; 138 hp)",Code Year Engine Power Torque Transmission Market,,"In 1996, for the 1997 model year, manual transmission returned for the turbo engine in the US along with a redesign of the taillights, headlights, front turn signal, front fascia, polished wheels, wheel center caps and other minor changes such as the radio.",The car also came standard with 4-wheel disc brakes and featured a four-link rea,"The car also came standard with 4-wheel disc brakes and featured a four-link rear suspension with coil springs, lateral track bar, and stabilizer bar.",,
,,,"Wheelbase 2,596 mm (102.2 in)",hp (82 kW; 112 PS) 136 lb⋅ft (184 N⋅m) Japan,"MA45 Apr 1978 – Aug 1980 1,988 cc (2.0 L; 121.3 cu in) M-EU I6 125 PS (92 kW; 123 hp) 136 lb⋅ft (184 N⋅m) 5-speed W50 manual",,"In the US the ""15th Anniversary Edition"" was unveiled. 1,379 units were produced – 384 units with special Deep Jewel Green Pearl paint. The interior has ""Limited Edition 15th Anniversary Supra"" emblems.[50]",The interior of the Supra had optional power windows and power locks as part of,The interior of the Supra had optional power windows and power locks as part of the convenience package.,,
,,,–1993 Toyota Supra 2.5GT Twin-turbo Limited (Japan),"MA47 Aug 1980 – Jul 1981 2,759 cc (2.8 L; 168.4 cu in) 5M-E I6 116 hp (87 kW; 118 PS) 145 lb⋅ft (197 N⋅m) 5-speed W50 manual",speed A40D automatic Japan,,"In July 2018, a pre-production version of the GR Supra was shown with a camouflage paint scheme at the 2018 Goodwood Festival of Speed which was confirmed to be a collaboration between Toyota and BMW with the new BMW Z4 (G29).[54]",The convenience package also included cruise control and special door trim with,The convenience package also included cruise control and special door trim with door pull straps with an optional sunroof.,,
,,,"Wheelbase 2,550 mm (100.4 in)[35][36]",cc M-TE/TEU turbo I6,"MA47 Aug 1980 – Jul 1981 2,759 cc (2.8 L; 168.4 cu in) 5M-E I6 116 hp (87 kW; 118 PS) 145 lb⋅ft (197 N⋅m) 5-speed W50 manual",,– Redesign implemented. Turbo model's power output increased to 173 kW (232 hp; 235 PS) & 250 lb⋅ft (339 N⋅m).,"As for standard features, in the centre console there was an extendable map ligh","As for standard features, in the centre console there was an extendable map light and a flip-top armrest, which provided storage.",,
,,,"The ""Aero Top"" targa model was only available for GZ and SZ models, while the RZ received Bilstein sport shock absorber as standard. In all trims, the rear spoiler was optional.[46]","From August 1982 to 1983, the Celica XX, as it was named in Japan, had fender mirrors and came in four models depending on the engine:[21][10]",speed A43D automatic world,,,On the exterior were redesigned side view mirrors and 14x51⁄2 inch aluminium whe,On the exterior were redesigned side view mirrors and 14x51⁄2 inch aluminium wheels were standard (the previous year had steel wheels with plastic wheel covers as standard and the aluminium wheels were optional).,,
,,,"In the US the ""15th Anniversary Edition"" was unveiled. 1,379 units were produced – 384 units with special Deep Jewel Green Pearl paint. The interior has ""Limited Edition 15th Anniversary Supra"" emblems.[50]","GT Twin Cam: 2,759 cc (2.759 L; 168.4 cu in) DOHC 5M-GEU 160 PS (118 kW; 158 hp) and 150 lb⋅ft (203 N⋅m) of torque.",speed W55 manual,,,"On the rear of the mudflaps, the word ""Celica"" was painted in white lettering.[1","On the rear of the mudflaps, the word ""Celica"" was painted in white lettering.[14] The official Supra site[6] also notes that there was an addition of optional leather-trimmed seating and automatic climate-control.",,
,,,Motorsport[edit],"GT Twin Cam 24: 1,988 cc (1.988 L; 121.3 cu in) DOHC 1G-GEU 160 PS (118 kW; 158 hp) and 134 lb⋅ft (182 N⋅m) of torque.",speed W57 manual,,,"1980[edit] 1981 Supra with Sports Performance Package (MA47, US) In August 1980","1980[edit] 1981 Supra with Sports Performance Package (MA47, US) In August 1980 (for the 1981 model year), the Supra received an upgrade in displacement with the 2.8-litre 5M-E engine shared with the Crown (S110).",,
,,,Main article: Toyota Supra in motorsport,"Turbo: 1,988 cc (1.988 L; 121.3 cu in) SOHC turbocharged M-TEU 145 PS (107 kW; 143 hp) and 21.5 kg⋅m (211 N⋅m; 156 lb⋅ft) of torque.",speed W58 manual,,,Performance figures for this model include a 0–60 mph (97 km/h) acceleration tim,"Performance figures for this model include a 0–60 mph (97 km/h) acceleration time of 10.24 seconds and a 1/4-mile time of 17.5 seconds at a speed of 77.7 mph (125 km/h).[15] Also in 1980 (for the 1981 model year), a new Sports Performance Package became an option, which included sport suspension, raised white letter tyres, and front and rear spoilers.",,
,,,"The Supra has been used in many levels of motorsport, with some prominent examples being in Group A (international)[63] and JGTC/Super GT (Japan).[64]",": 1,988 cc (1.988 L; 121.3 cu in) SOHC 1G-EU 125 PS (92 kW; 123 hp) and 17.5 kg⋅m (172 N⋅m; 127 lb⋅ft) of torque.",speed A43DL automatic,,,"While being mechanically identical, they were differentiated by the available op","While being mechanically identical, they were differentiated by the available options; tyre size, wheel size, and body trim.",,
,,,"The fifth-generation GR Supra (J29/DB) was selected to be on Car and Driver magazine's 10Best list for 2020, 2021, and 2023, and was named to the magazine's Editor's Choice list in the Sports Car category for 2020, 2021, 2022, and 2023.[65][66][67][68][69][70]",,,,,The P-type was also standard with the more sporty eight-way adjustable seats.,The P-type was also standard with the more sporty eight-way adjustable seats.,,
,,,"It won ""Best Sports Coupe"" for 2020 and 2021 in MotorWeek magazine's Drivers' Choice Awards.[71][72]",,,,,The P-type did not get the option of a leather interior until 1983.,The P-type did not get the option of a leather interior until 1983.,,
,,,"In 2019, the fifth-generation GR Supra won Auto Bild magazine's ""Golden Steering Wheel"" award for Best New Sports Car, and was named the ""Car of the Year"" by Esquire magazine.[73][74]",,,,,The L-type also had the option of a digital instrument cluster with a trip compu,The L-type also had the option of a digital instrument cluster with a trip computer; some Canadian models (both L-types and P-types) had this option as well as a few rare instances of American models.,,
,,,"In 2020, the GR Supra won Sport Auto magazine's ""Best Handling Car 2020"", and was Automobile magazine's 2020 Automobile All-Stars winner.[75][76]",,,,,"Excluding the 1982 model, all P-types were available with headlight washers as a","Excluding the 1982 model, all P-types were available with headlight washers as an option, but the L-types were never given such an option.",,
,,,"In 2021, the Specialty Equipment Market Association (SEMA) awarded the fifth-generation GR Supra as the ""Sport Compact of the Year"".[77]",,,,,"Although gear ratios changed throughout the years, all P-types came standard wit","Although gear ratios changed throughout the years, all P-types came standard with a limited-slip differential.[18] 1981[edit] 1982 Toyota Supra 2.8i L-Type (MA61) In 1981, for the 1982 model year, in the North American market, the Celica Supra's engine was the 2.8-litre 12-valve (two valves per cylinder) DOHC 5M-GE.",,
,,,,,,,,"When the car debuted, it had a drag coefficient of Cd=0.348, a 0–60 mph (0–97 km","When the car debuted, it had a drag coefficient of Cd=0.348, a 0–60 mph (0–97 km/h) acceleration time of 9.8 seconds and a 1⁄4 mile (400 m) time of 17.2-seconds at 80 mph (129 km/h).[19] The standard transmission for this year was the W58 5-speed manual with the A43DL 4-speed automatic transmission being an option for L-types.",,
,,,,,,,,"On the interior, this generation had standard power windows, power door locks, a","On the interior, this generation had standard power windows, power door locks, and power mirrors as well as a tilt steering wheel.",,
,,,,,,,,The optional automatic climate control was renovated and was now seen as a stand,The optional automatic climate control was renovated and was now seen as a standard feature on the A60.,,
,,,,,,,,Cruise control and a retractable map light was standard in this generation.,Cruise control and a retractable map light was standard in this generation.,,
,,,,,,,,"Some options included the addition of a sunroof, two-tone paint schemes, and a f","Some options included the addition of a sunroof, two-tone paint schemes, and a five-speaker AM/FM/MPX tuner with a cassette player (Fujitsu Ten Limited).",,
,,,,,,,,The optional cassette stereo had a 105-watt power amplifier and a seven-band gra,The optional cassette stereo had a 105-watt power amplifier and a seven-band graphic equalizer.,,
,,,,,,,,The standard stereo was a five-channel AM/FM/MPX tuner.,The standard stereo was a five-channel AM/FM/MPX tuner.,,
,,,,,,,,"Leather interior was an option on the L-type model, but the P-type models limite","Leather interior was an option on the L-type model, but the P-type models limited to standard striped cloth interior.",,
,,,,,,,,The P-type was available with an optional rear window visor above the hatch glas,The P-type was available with an optional rear window visor above the hatch glass.,,
,,,,,,,,"As for the optional automatic transmission, they replaced the A43DL 4-speed with","As for the optional automatic transmission, they replaced the A43DL 4-speed with a newly designed A43DE 4-speed.",,
,,,,,,,,"Vehicle features and options This chapter describes all standard, country-specif","Vehicle features and options This chapter describes all standard, country-specific and optional features offered with the series.",,
,,,,,,,,It also describes features and functions that are not necessarily available in y,"It also describes features and functions that are not necessarily available in your vehicle, e.g., due to the selected options or country versions.",,
,,,,,,,,Standard equipment includes the features that come with this vehicle.,Standard equipment includes the features that come with this vehicle.,,
,,,,,,,,Select Your Options Choose options to include in this vehicle value.,Select Your Options Choose options to include in this vehicle value.,,
,,,,,,,,"For the most accurate pricing and values on new or used vehicles, select the opt","For the most accurate pricing and values on new or used vehicles, select the optional features on the vehicle.",,
,,,,,,,,Vehicle features and options This Owner's Manual describes all models and all st,"Vehicle features and options This Owner's Manual describes all models and all standard, country-specific and optional equipment that is offered in the model series.",,
,,,,,,,,Pricing and Which One to Buy The price of the 2023 Toyota GR Supra starts at $45,"Pricing and Which One to Buy The price of the 2023 Toyota GR Supra starts at $45,735 and goes up to $59,440 depending on the trim and options.",,
,,,,,,,,This advanced technology suite is designed to help you get more from your GR Sup,"This advanced technology suite is designed to help you get more from your GR Supra 2.0 and 3.0 with Safety and Technology Package, 3.0 Premium and A91-MT Edition and includes features like Automatic Emergency Call, Real-Time Traffic Information, Roadside Assistance and the available Supra Connect iPhone app to lock/unlock the ...",,
,,,,,,,,Learn more about all the enhanced 2023 Toyota GR Supra specs and options for the,Learn more about all the enhanced 2023 Toyota GR Supra specs and options for the latest models.,,
