Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2023,Kia,Tekiar,Wikidata (linked database),,,,Titles on Wikipedia are case sensitive except for the first character; please check alternative capitalizations and consider adding a redirect here to the correct title.,"Built to our highest standards, these accessories combine durability and style w","Built to our highest standards, these accessories combine durability and style without compromising on quality.","Driver Centric Cockpits · Advanced Technology · Safe Exit Assist Styles: Seltos, Sorento,","Driver Centric Cockpits · Advanced Technology · Safe Exit Assist Styles: Seltos, Sorento, Telluride, EV9, Sorento Hybrid"
,,,"If a page was recently created here, it may not be visible yet because of a delay in updating the database; wait a few minutes or try the purge function.",,,,,Some vehicles shown may include optional equipment or may not be exactly as show,Some vehicles shown may include optional equipment or may not be exactly as shown.,,
