Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
,,,"The hardtop was offered in Royal Extra, Royal Saloon, Royal Saloon G, and sporty Royal Touring trim levels, while sedans were offered in Super Deluxe, Super Saloon, Super Saloon Extra and Royal Saloon trims.","Toyota Crown Sedan 2.2 diesel Standard for taxi (LS110, Japan)",eCVT automatic (hybrid),,"The hardtop was offered in Royal Extra, Royal Saloon, Royal Saloon G, and sporty Royal Touring trim levels, while sedans were offered in Super Deluxe, Super Saloon, Super Saloon Extra and Royal Saloon trims.",The all-new pillared hardtop with the Royal Saloon trim package was the most exc,"The all-new pillared hardtop with the Royal Saloon trim package was the most exclusive Crown and was an alternative to the Nissan Cedric and Nissan Gloria, the traditional cross-town rival, while both the Cedric and Gloria were offered as genuine hardtop sedans beginning August 1972.",,
,,,"–2003 Crown Royal Extra Limited (GS171, Japan)",L M-TE turbo I6 (MS120),speed automatic (2.0 L),,"In 1996, it won the Automotive Researchers' and Journalists' Conference Car of the Year award in Japan which it shared with the Crown Majesta.",This series Crown in the Royal Saloon trim package exceeded length regulations o,"This series Crown in the Royal Saloon trim package exceeded length regulations of 4.7 m set forth by Japanese regulations by 65 mm, but Toyota continued to offer a 2.0 L engine in a shorter vehicle for buyers who were looking for better fuel economy over the larger six-cylinder engines, and reduced road tax liability.",,
,,,"Wheelbase 2,850 mm (112.2 in)",L 2L diesel I4 (LS120/126V),eCVT automatic (2.5 L hybrid),,"A total of 10,545 Athlete V sedans were manufactured, with a further 5,012 Athlete V Estates manufactured.[citation needed]","Some of the options that became available were an Electronic compass, glass moon","Some of the options that became available were an Electronic compass, glass moon roof, power drivers seat, cruise control, electronic stereo tuner, and two-tone paint.",,
,,,Crown Sport S200 (2011–2012) in China,L 2L-T/TE/THE turbo-diesel I4 (LS120),"speed ""Multi Stage Hybrid System"" automatic (3.5 L hybrid)",,Predecessor Toyota Crown Majesta (S210) (Crown G-Executive),"The Japanese market ""van"" version of the station wagon (the GS126V as well as th","The Japanese market ""van"" version of the station wagon (the GS126V as well as the GS136V in the following series) used its own unique variant of this motor which took advantage of laxer emissions standards for commercial vehicles (the 1G-EJ).",,
,,,Wheelbase,cc 1UZ-FE V8 (UZS131),Dynamic Radar Cruise Control (with all-speed vehicle following function),,"With the exception of the S230/232 sedan, this generation is the first Crown to use a front-wheel drive-based platform (TNGA-K) – although it is paired with Toyota's drive shaft-less electric all-wheel drive (E-Four) system as standard.[citation needed]","The top-trim package was called the Royal Saloon, followed by Super Saloon Extra","The top-trim package was called the Royal Saloon, followed by Super Saloon Extra, Super Select for hardtop bodystyles, followed by the Royal Saloon sedan, Super Saloon Extra sedan, and the wagon came only as Super Saloon Extra.",,
,,,"Wheelbase 2,920 mm (115.0 in)",,,,Predecessor Toyota Avalon (North America and Middle East),The Standard Sedan for Taxi and base model Wagon feature round headlights and ch,The Standard Sedan for Taxi and base model Wagon feature round headlights and chrome bumpers.,,
,,,"With the exception of the S230/232 sedan, this generation is the first Crown to use a front-wheel drive-based platform (TNGA-K) – although it is paired with Toyota's drive shaft-less electric all-wheel drive (E-Four) system as standard.[citation needed]",,,,"In China, the model is sold as the Crown SportCross by FAW Toyota as an imported model.[124] It was introduced at the December 2022 Guangzhou Auto Show.[125] It was offered in two grades: 2.5L HEV Premium Edition and the 2.4L HEV AWD Supreme Edition.[126]","Engine options used in the hardtop model were the 2JZ-GE 3000cc DOHC, 1JZ-GE 250","Engine options used in the hardtop model were the 2JZ-GE 3000cc DOHC, 1JZ-GE 2500cc DOHC, and the 2L-THE diesel 2400cc SOHC engine.",,
,,,Also called Toyota Crown SportCross (China),,,,"The HEV model is powered by a 2.5-litre A25A-FXS engine with a first application of a multi-stage hybrid system which combines the engine, two motors, and stepped gears.","Transmission options were an optional five speed transmission dubbed ""5ECT-i"" us","Transmission options were an optional five speed transmission dubbed ""5ECT-i"" used with the 2JZ-GE, a four speed ""ECT-i"" transmission used with the 2JZ-GE, and a four speed ""ECT"" transmission for the 1JZ-GE, 2L-THE, and 1G-FE equipped vehicles.",,
,,,Toyota Crown Sport,,,,"The 70th anniversary special edition was released in 2025. The sedan had 20-inch alloy wheels finished in matte black. The car was offered in special two-tone paint. The interior has ""70th anniversary"" emblems in the interior and optional ""70th"" decals on the outside.[145]","A new trim level was introduced, called Royal Touring, meant to be a mid-tier mo","A new trim level was introduced, called Royal Touring, meant to be a mid-tier model with the option of both the 2JZ-GE and 1JZ-GE.",,
,,,"speed ""Direct Shift-6AT"" automatic + ""eAxle"" (2.4 L turbo)",,,,"Both models are offered in two variants, HEV and PHEV. Both models are also offered in four body styles.",The Royal Saloon G trim kept all of the luxurious options of the previous genera,"The Royal Saloon G trim kept all of the luxurious options of the previous generation including a fully digital gauge cluster, GPS navigation, and more safety equipment than other trim levels.",,
,,,,,,,Predecessor Toyota Venza (XU80) (North America)[152],"Furthermore, the grey cloth interior was changed to black cloth, with black leat","Furthermore, the grey cloth interior was changed to black cloth, with black leather becoming an available option.",,
,,,,,,,"^ ""Toyota Crown Majesta undergoes complete redesign"". www.theautochannel.com.",Optional 17-inch wheels were also offered starting from 2001.,Optional 17-inch wheels were also offered starting from 2001.,,
,,,,,,,"^ ""Toyota Launches Redesigned Crown Majesta in Japan"". worldcarfans.com (Press release). 2009-03-27. Archived from the original on 2009-04-01. Retrieved 2024-08-16.","The engine was changed to a V6 for the new Royal and Athlete models, while the C","The engine was changed to a V6 for the new Royal and Athlete models, while the Crown Majesta used the V8 only, now in 4.3-liter form with 4WD optional.",,
,,,,,,,"^ ""丰田皇冠正式停产，一个时代终结，曾经对标奥迪A6"" [Toyota Crown officially discontinued production, the end of an era, once bettered Audi A6]. Sina Motors (in Chinese). China. 2020-08-01. Retrieved 2020-08-01.","Targeted monthly sales in Japan is set at 3,200 units.[109] It went on sale in S","Targeted monthly sales in Japan is set at 3,200 units.[109] It went on sale in September 2022.[116] In April 2024 there was a minor reshuffle, in which the Advanced and Leather Package models were discontinued.",,
,,,,,,,"^ ""Toyota Rolls Out Completely Redesigned Crown"" (Press release). Japan: Toyota. 2018-06-26. Retrieved 2018-07-02.",The latter is equipped with the T24A-FTS engine and a standard Adaptive Variable,The latter is equipped with the T24A-FTS engine and a standard Adaptive Variable Suspension.[120][121] The North American market Crown does not wear the Crown emblem at the front and the steering wheel; it instead wears Toyota's corporate emblem.,,
,,,,,,,,"Similar to other markets, it is available with two grades with the hybrid powert","Similar to other markets, it is available with two grades with the hybrid powertrain as standard: 2.5 L Hybrid and 2.4L Dual Boost Hybrid.[128][129] Middle East[edit] The 2023 Crown went on sale in the Middle Eastern markets on 11 June 2023.",,
,,,,,,,,Targeted monthly sales in the country is 600 units.[144] Rear view Rear view,"Targeted monthly sales in the country is 600 units.[144] Rear view Rear view (with optional Modellista parts) Interior Markets[edit] Japan[edit] In Japan, the Crown Sedan is marketed simply as ""Crown"" (though the ""Sedan"" designation is used to distinguish it from the other variants) and is available in one grade, Z, for both the fuel cell (FCEV) and hybrid (HEV) configurations.[144] The FCEV model adopts the same fuel cell system as the second-generation Mirai.",,
,,,,,,,,"The interior has ""70th anniversary"" emblems in the interior and optional ""70th""","The interior has ""70th anniversary"" emblems in the interior and optional ""70th"" decals on the outside.[145] In the same year, Toyota also released another special edition, ""Matte Metal Edition"".",,
,,,,,,,,"^ ""Toyota Adds to Pre-crash Safety Technologies"" (Press release).","^ ""Toyota Adds to Pre-crash Safety Technologies"" (Press release).",,
,,,,,,,,"""Toyota Launches All-New Crown In Japan With Connected Features As Standard"".","""Toyota Launches All-New Crown In Japan With Connected Features As Standard"".",,
,,,,,,,,Every effort has been made to ensure the specifications and equipment described,Every effort has been made to ensure the specifications and equipment described are accurate based on information available at ime of creation of this Product Summary.,,
,,,,,,,,"In some cases, certain changes in production capacity, standard equipment, optio","In some cases, certain changes in production capacity, standard equipment, options or product delays may occur which would not be automat Is the 2025 Toyota Crown Signia AWD?",,
,,,,,,,,"For a closer look at all 2025 Crown Signia features, specs and options, check ou","For a closer look at all 2025 Crown Signia features, specs and options, check out KBB.com.",,
,,,,,,,,Standard equipment includes the features that come with this vehicle.,Standard equipment includes the features that come with this vehicle.,,
,,,,,,,,Select Your Options Choose options to include in this vehicle value.,Select Your Options Choose options to include in this vehicle value.,,
,,,,,,,,"For the most accurate pricing and values on new or used vehicles, select the opt","For the most accurate pricing and values on new or used vehicles, select the optional features on the vehicle.",,
