Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2021,Toyota,Sienna,Toyota Sienna XLE (AXLH40),"Layout Front-engine, front-wheel-drive",Transmission 4-speed A540E/A541E automatic,"Following the discontinuation of General Motors's all-wheel drive minivans in 2006, the Sienna was the only minivan in its class offered with AWD in North America until the 2021 Chrysler Pacifica was introduced with an AWD option in 2020.[3][4][5]",Predecessor,Following the discontinuation of General Motors's all-wheel drive minivans in 20,"Following the discontinuation of General Motors's all-wheel drive minivans in 2006, the Sienna was the only minivan in its class offered with AWD in North America until the 2021 Chrysler Pacifica was introduced with an AWD option in 2020.[3][4][5] The Sienna is not made in right-hand drive configuration and is not sold in right-hand drive markets.",,
,,,First generation (XL10; 1997)[edit],Engine,Transmission,speed U151E automatic (FWD),"Following the discontinuation of General Motors's all-wheel drive minivans in 2006, the Sienna was the only minivan in its class offered with AWD in North America until the 2021 Chrysler Pacifica was introduced with an AWD option in 2020.[3][4][5]",The driver side sliding door and roof rack were standard on the XLE models but w,The driver side sliding door and roof rack were standard on the XLE models but were optional on the LE and CE models.,,
,,,Model code XL10,L 1MZ-FE V6,speed U151E automatic (FWD),speed U151F automatic (AWD),"In 2001, for the 2002 model year, the Symphony Package became available for the LE models, where some extra items included a premium JBL cassette, captain chairs in the front and middle rows, heated mirrors, and so on. It was offered with the choice of three body colors.[13]",The XLE models offered leather seats and a wood trim package.,The XLE models offered leather seats and a wood trim package.,,
,,,"Wheelbase 2,900 mm (114.2 in)",Power output 194–210 hp (145–157 kW; 197–213 PS),speed U151F automatic (AWD),",000 kg (4,400 lb) (FWD)","The front dashboard features a ""swoop"" wood trim, inspired by the Toyota Venza and Lexus RX, that gives front seat occupants a ""60/60"" split whether in the driver or passenger seat.[31]",Toyota Sienna LE (pre-facelift) Safety[edit] This generation was noteworthy for,Toyota Sienna LE (pre-facelift) Safety[edit] This generation was noteworthy for its impressive safety content as one of the few minivans at the time to offer options including front seat-mounted side torso airbags and Vehicle Stability Control.,,
,,,"In 2001, for the 2002 model year, the Symphony Package became available for the LE models, where some extra items included a premium JBL cassette, captain chairs in the front and middle rows, heated mirrors, and so on. It was offered with the choice of three body colors.[13]","Front-engine, front-wheel-drive",speed U660E automatic (MY2011–2016),",053 kg (4,525 lb) (AWD)",", for the 2019 model year: All-wheel drive became available on the SE trim and the Limited trim with FWD is no longer offered. CarPlay support is introduced alongside the Entune 3.0 media system.",Anti-lock braking was standard.,Anti-lock braking was standard.,,
,,,Second generation (XL20; 2003)[edit],"Front-engine, all-wheel-drive",speed UA80E/F (FWD/AWD) automatic (MY2017–2020),"All-wheel drive, optional on the more expensive trims included run-flat tires. The all-wheel drive system continuously divided engine power 50:50 front and rear.[19]",", for the 2020 model year: The Nightshade Edition became available on all FWD and AWD models. The Nightshade package includes four exterior colors: Midnight Black Metallic, Celestial Silver Metallic, Salsa Red Pearl and Super White.[42]","The driver side sliding door became standard on all models, although the roof ra","The driver side sliding door became standard on all models, although the roof rack remained optional on the CE models.[12] In 2001, for the 2002 model year, the Symphony Package became available for the LE models, where some extra items included a premium JBL cassette, captain chairs in the front and middle rows, heated mirrors, and so on.",,
,,,Model code XL20,L 3MZ-FE V6 (MY2004–2006),Transmission eCVT,Updated styling allowed for a drag coefficient of Cd=0.30. EPA Fuel economy was 17 mpg city driving and 23 mpg highway for the FWD version. The AWD version got 16 mpg city driving and 22 mpg highway driving. The turning radius was 11.2 metres (37 ft).,", for the 2024 model year: The XSE Premium package was added. The LE and XLE trims receives darkened chrome accented headlights. The XSE AWD and Woodland trims receives a darker color for the wheels.[56]","Seating for eight was optional on lower-level trims, and the third row seating w","Seating for eight was optional on lower-level trims, and the third row seating was fold-flat,[18] allowing the van to transport 4 by 8 feet (1.2 by 2.4 m) building materials like plywood and drywall sheets.",,
,,,"Wheelbase 3,030 mm (119.3 in)",L 2GR-FE V6 (MY2007–2010),,FWD Rollover:,"^ ""Toyota Sienna Paint Code Guide | Toyota Parts Center Blog"".","Trim levels, in order of increasing standard and available features were: CE, LE","Trim levels, in order of increasing standard and available features were: CE, LE, XLE and XLE Limited (renamed Limited in later years).",,
,,,"All-wheel drive, optional on the more expensive trims included run-flat tires. The all-wheel drive system continuously divided engine power 50:50 front and rear.[19]",hp (172 kW; 233 PS) (3MZ-FE),,speed UA80E/F (FWD/AWD) automatic (MY2017–2020),"^ ""Redesigned Toyota Sienna to Debut at L.A. Auto Show – KickingTires"". Blogs.cars.com. Archived from the original on 15 December 2009. Retrieved 12 December 2009.","Standard features included remote keyless entry, tilt-and-telescopic steering wh","Standard features included remote keyless entry, tilt-and-telescopic steering wheel, and high solar energy-absorbing glass (HSEA) on the windshield and front windows.",,
,,,: Vehicle Stability Control became standard in all trims.[citation needed],hp (198 kW; 270 PS) (2GR-FE),,", for the 2019 model year: All-wheel drive became available on the SE trim and the Limited trim with FWD is no longer offered. CarPlay support is introduced alongside the Entune 3.0 media system.","^ ""2015 Best Resale Value Awards – Kelley Blue Book"". Kbb.com. 1 January 2015. Archived from the original on 30 May 2015. Retrieved 29 May 2015.",All 2004–2007 Siennas had a factory tow package (hitch kit and trailer lighting,"All 2004–2007 Siennas had a factory tow package (hitch kit and trailer lighting connections not included[clarification needed]) and a 3,500 pounds (1,600 kg) towing capacity.",,
