Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2020,Ram,Promaster City,"Wheelbase 2,583 mm (101.7 in)",Engine 1.2 L Fire I4 (petrol),Transmission 5-speed manual,"In September 2003, Fiat Brazil introduced an off-road 4x2 version called Fiat Doblò Adventure, also with the straight-4 Ecotec 1800 cc engine. It has revised exterior look with bigger bumpers and mouldings and raised ride height 6 cm (2.4 in) and spare wheel on the rear.[8]",Predecessor,"Turkish models have an engine range that includes a 1.4 litre petrol, a 1.9 litr","Turkish models have an engine range that includes a 1.4 litre petrol, a 1.9 litre MultiJet, and a 16 valve 1.3 litre MultiJet.",,
,,,Short wheelbase,L Multijet I4 (diesel),speed manual,,"It is manufactured by Fiat's Tofaş subsidiary factory in Bursa, Turkey, in Brazil since 2002 and in Russia and Vietnam. Turkish models have an engine range that includes a 1.4 litre petrol, a 1.9 litre MultiJet, and a 16 valve 1.3 litre MultiJet.","In North Korea, Pyonghwa Motors produces Doblò branded as its own name Ppeokkugi","In North Korea, Pyonghwa Motors produces Doblò branded as its own name Ppeokkugi.[7] Facelifted Doblò (223), 2005–10 Short wheelbase Long wheelbase (Cargo XXL) The facelift version came in October 2005, and was restyled with modifications to the front and rear light groups, and the total design of the front part.",,
,,,Long wheelbase (Cargo XXL),L D I4 (diesel),"The vehicle uses a 30 kW (60 kW peak) motor from Ansaldo Electric Drives (a S.p.A. based in Genoa[14]), that gives 120 km/h (75 mph) top speed.",,"On October 2, 2007, a sixty-day demonstration of the All-Electric Fiat Doblo was begun. The Electric engine is powered by a custom 18 kWh Altairnano high performance NanoSafe(R) battery pack, travelled 300 kilometres (190 mi) in an urban delivery circuit.",Overall the Doblò EV weighs 150 kg (331 lb) more than the Cargo 1.6 Multijet ver,"Overall the Doblò EV weighs 150 kg (331 lb) more than the Cargo 1.6 Multijet version.[29] Facelift[edit] Facelifted Doblò (263), 2015–22 Front Rear Introduced at the Hanover Motor Show, the 2015 Fiat Doblò receives a revised front end with an all new dashboard, new headlamps, grille, and front bumper to coincide with the release of the Ram ProMaster City.[30] Versions include standard, Active, SX and Technico for the commercial versions and Pop, Easy, Lounge and Trekking for the passenger (MP",,
,,,"The vehicle uses a 30 kW (60 kW peak) motor from Ansaldo Electric Drives (a S.p.A. based in Genoa[14]), that gives 120 km/h (75 mph) top speed.",L JTD I4 (diesel),Transmission,,Predecessor Ram C/V Tradesman (for ProMaster City),The N1 Fiat professional commercial version remains on sale although the 1.4 Pet,"The N1 Fiat professional commercial version remains on sale although the 1.4 Petrol engine has been discontinued, with only 1.3 and 1.6 Diesel options available for the U.K.",,
,,,"Wheelbase SWB: 2,755 mm (108.5 in)[16]","It is manufactured by Fiat's Tofaş subsidiary factory in Bursa, Turkey, in Brazil since 2002 and in Russia and Vietnam. Turkish models have an engine range that includes a 1.4 litre petrol, a 1.9 litre MultiJet, and a 16 valve 1.3 litre MultiJet.",speed Dualogic automated manual,,"In other markets the XL appeared in 2012, and it is available with all diesel engines excepting the 1.3, and also the 1.4 T-Jet. There is also an XL Combi, with a 135 PS (99 kW) version of the 2.0 diesel.[23]",The Doblo Cargo van also remains in production - albeit with more limited engine,The Doblo Cargo van also remains in production - albeit with more limited engine options than previously.,,
,,,"In other markets the XL appeared in 2012, and it is available with all diesel engines excepting the 1.3, and also the 1.4 T-Jet. There is also an XL Combi, with a 135 PS (99 kW) version of the 2.0 diesel.[23]","In September 2003, Fiat Brazil introduced an off-road 4x2 version called Fiat Doblò Adventure, also with the straight-4 Ecotec 1800 cc engine. It has revised exterior look with bigger bumpers and mouldings and raised ride height 6 cm (2.4 in) and spare wheel on the rear.[8]",speed 948TE automatic,,L DV5 BlueHDi I4,"Unlike the Doblò, passenger versions of the ProMaster City use solid metal panel","Unlike the Doblò, passenger versions of the ProMaster City use solid metal panels instead of glass in its rear quarters, and third row seating and the lift tailgate options are not offered.",,
,,,"Trim levels are Tradesman, SLT, Wagon, and Wagon SLT. Like the larger Ram ProMaster, the Ram ProMaster City received a facelift for the model year of 2019. The front ""crosshair"" grille was replaced with a plain front grille with the 'RAM' lettering.","Besides the 1.8 litre Powertrain, Doblò is now equipped with a 1.4 litre Fire flex engine.[9] In the model year of 2011, the 8 valve 1.8 litre Ecotec engine was replaced by the brand new 16 valve 1.8 litre E.torQ engine, produced by Fiat Powertrain Technologies.[10]",Transmission 5-6-speed manual,,L DV6 D HDi / BlueHDi I4,The interior of the facelifted 2019 Ram ProMaster City remains largely unchanged,"The interior of the facelifted 2019 Ram ProMaster City remains largely unchanged from 2018, although the U Connect 3 5.0BT touchscreen radio is now standard equipment (both GPS navigation and SiriusXM Satellite Radio still remain options), replacing the previously standard U Connect 3.0 non touchscreen radio on models from 2018.",,
,,,"The ProMaster City is expected to return to North America in 2027 as a mid-sized van, based on the Fiat Scudo and similar models.[34]",Engines[edit],speed automatic EAT8,,Predecessor Fiat Fiorino/Citroën Nemo/Peugeot Bipper,This is due to the National Highway Traffic Safety Administration (NHTSA) regula,This is due to the National Highway Traffic Safety Administration (NHTSA) regulation of standard rear view backup cameras for the model year of 2019.,,
,,,"Wheelbase 2,785–2,975 mm (109.6–117.1 in)",petrol 65 PS (48 kW; 64 hp),"^ ""25.09.2003 FIAT BRAZIL INTRODUCE OFF-ROAD DOBLÒ ADVENTURE"". italiaspeed.com. Retrieved 2008-01-04.",,,Now standard are a USB input as well as U Connect Bluetooth hands free calling a,"Now standard are a USB input as well as U Connect Bluetooth hands free calling and wireless A2DP audio streaming, as well as voice control.",,
,,,"^ Paixão, André (December 2021). ""Mais caro que Jeep Renegade, Fiat Doblò sai de linha depois de 20 anos na mesma geração"". autoesporte (in Brazilian Portuguese). Retrieved 2021-12-25.",V Multijet diesel 70 PS (51.5 kW; 69 hp),"a b ""17.12.2009 NEW MODEL: NUOVA FIAT DOBLÒ & DOBLÒ CARGO"". italiaspeed.com. Retrieved 2009-12-18.",,,AVAILABLE PACKAGES Cargo Partition — Available with and without window Ram Telem,"AVAILABLE PACKAGES Cargo Partition — Available with and without window Ram Telematics — Powered by Verizon, this web-based fleet management solution provides real-time data and insights about everything — from your vehicles and drivers to fuel savings and productivity.",,
