Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
,,,"^ Lee, Jonathan (4 April 2022). ""2023 Honda HR-V for US market – Civic-based, Corolla Cross-fighting SUV with independent rear suspension"". Paul Tan's Automotive News. Retrieved 6 June 2025.",TZ190HSBMCF61 and TZ190HSAMCF61 permanent magnet synchronous motor (electric versions),,,,"""Novo Honda HR-V 2023: veja versões, equipamentos e consumo"" [New Honda HR-V 202","""Novo Honda HR-V 2023: veja versões, equipamentos e consumo"" [New Honda HR-V 2023: see versions, equipment and consumption].",,
,,,,kW (118 PS; 117 hp) (L15B),,,,"^ ""Lançamento Novo Honda HR-V 2023: o que muda, equipamentos e como anda"" [New H","^ ""Lançamento Novo Honda HR-V 2023: o que muda, equipamentos e como anda"" [New Honda HR-V 2023 launch: what changes, equipment and how it goes].",,
,,,,kW (121 PS; 119 hp) (L15ZF),,,,"""ホンダ、コンパクトSUV「ヴェゼル」マイナーチェンジ 内外装の刷新と""ハント/プレイ""2つのパッケージを新たに設定"" [Honda's compact SUV","""ホンダ、コンパクトSUV「ヴェゼル」マイナーチェンジ 内外装の刷新と""ハント/プレイ""2つのパッケージを新たに設定"" [Honda's compact SUV ""Vezel"" minor change, interior and exterior renewal, and two new ""Hunt/Play"" packages].",,
,,,,kW (177 PS; 174 hp) (L15C1),,,,"""2022 HR-V in Malaysia - 1.5L NA, 1.5L Turbo, e:HEV hybrid confirmed, Sensing st","""2022 HR-V in Malaysia - 1.5L NA, 1.5L Turbo, e:HEV hybrid confirmed, Sensing standard, RM120-140k est"".",,
,,,,kW (106 PS; 105 hp) + 96 kW (131 PS; 129 hp) (LEB-MMD/LEC-H5/LEC6),,,,"^ ""PIMS: Honda Cars PH Adds RS Turbo Variant To HR-V Line For P 1.739M"".","^ ""PIMS: Honda Cars PH Adds RS Turbo Variant To HR-V Line For P 1.739M"".",,
,,,,,,,,"""Honda HR-V thêm bản 'giá rẻ' 699 triệu đồng tại Việt Nam: Bỏ tiện nghi, giữ côn","""Honda HR-V thêm bản 'giá rẻ' 699 triệu đồng tại Việt Nam: Bỏ tiện nghi, giữ công nghệ đấu Creta"" [Honda HR-V adds 'cheap' version for 699 million VND in Vietnam: Removes amenities, keeps technology to compete with Creta].",,
,,,,,,,,"[4] Based on SAE J1100 cargo volume measurement standard plus, where applicable,","[4] Based on SAE J1100 cargo volume measurement standard plus, where applicable, floor space between seating rows and seats in their forward-most and upright position.",,
,,,,,,,,2021 Honda HR-V Configurations Select up to 3 trims below to compare some key sp,2021 Honda HR-V Configurations Select up to 3 trims below to compare some key specs and options for the 2021 Honda HR-V.,,
,,,,,,,,Standard equipment includes the features that come with this vehicle.,Standard equipment includes the features that come with this vehicle.,,
,,,,,,,,Select Your Options Choose options to include in this vehicle value.,Select Your Options Choose options to include in this vehicle value.,,
,,,,,,,,"For the most accurate pricing and values on new or used vehicles, select the opt","For the most accurate pricing and values on new or used vehicles, select the optional features on the vehicle.",,
