Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2022,MINI,Mobile Mini Inc.,"Mobile Mini, Inc. is an American portable storage company founded in 1983 and based in Phoenix, Arizona.[1][2]",,,,"In March 2020, Mobile Mini entered into a merger agreement with Baltimore-based modular space rental company WillScot Corporation. The estimated value of the combined company is approximately $6.6 billion.[12][13]",The lengths of the units are 5 to 45 feet long and can be customized with up to,"The lengths of the units are 5 to 45 feet long and can be customized with up to 100 different configuration options.[citation needed] Mobile Mini's lease fleet totals approximately 235,000 portable storage and office units.",,
,,,"In March 2020, Mobile Mini entered into a merger agreement with Baltimore-based modular space rental company WillScot Corporation. The estimated value of the combined company is approximately $6.6 billion.[12][13]",,,,,"In 2008, the company merged with The Mobile Storage Group, giving Mobile Mini a","In 2008, the company merged with The Mobile Storage Group, giving Mobile Mini a combined portable storage and office rental fleet of more than 274,000 units.[9] In 2013, Mobile Mini appointed Erik Olsson as CEO.[citation needed] In November 2014, Mobile Mini expanded its product line by purchasing Evergreen Tank Solutions for $405 million in cash.",,
,,,"^ Reed, Lillian (2 March 2020). ""Baltimore-based WillScot Corp. to merge with portable storage business creating company valued at $6.6 billion"". baltimoresun.com. Retrieved 2020-03-03.",,,,,We Offer Top-Rated Unit Options All Over North Carolina.,We Offer Top-Rated Unit Options All Over North Carolina.,,
,,,,,,,,"MODEL YEAR 2022 MINI LINEUP PRICING AND EQUIPMENT UPDATES Woodcliff Lake, NJ - J","MODEL YEAR 2022 MINI LINEUP PRICING AND EQUIPMENT UPDATES Woodcliff Lake, NJ - June 14, 2021 - Following a series of major updates and new vehicle additions in the previous model year, MINI USA presents its Model Year 2022 vehicle lineup with several significant updates to design, technology, options, and equipment.",,
,,,,,,,,"Model Year 2022 MINI Lineup Pricing And Equipment Updates Jun 15, 2021 Following","Model Year 2022 MINI Lineup Pricing And Equipment Updates Jun 15, 2021 Following a series of major updates and new vehicle additions in the previous model year, MINI USA presents its Model Year 2022 vehicle lineup with several significant updates to design, technology, options, and equipment.",,
