Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2022,Mitsubishi,Mirage,"Wheelbase 2,300 mm (90.6 in) (3-door)","Layout Front-engine, front-wheel-drive (1978–2003, 2012–present)",,,Transmission 4-speed manual (Super Shift),model code displ. engine power torque drivetrain body style markets production,,,,,,,,Predecessor Mitsubishi Lancer (A70) (for 1978 model),"The RE update was distinguished by revised wheel covers, body side projection mo","The RE update was distinguished by revised wheel covers, body side projection mouldings, and grille, plus the addition of body colour bumpers. The SE model was dropped, with the range opening up with the fleet-focused XL hatchback with the 1.4-litre engine and a four-speed manual gearbox, stepping up to the 1.6-litre, GLX hatchback and sedan with five-speed manual or optional three-speed automatic. This model was also briefly exported to New Zealand in the late 1980s, where it shared sh",It also offers a range of advanced safety features and driver-assistance technology.,It also offers a range of advanced safety features and driver-assistance technology.
,,,"Wheelbase 2,380 mm (93.7 in)","Front-engine, all-wheel-drive (1983–2003)",,,speed manual,C65A 1198 cc SOHC 8V carburated 4G16 65 PS (48 kW) 90 N⋅m (66 lb⋅ft) FWD 4-door sedan Greece 1988-1992,,,,,,,,"By mid-2000, Mitsubishi axed the EL & GL model trims in favor of the Lancer ""1.6 GLS"" trim which featured redesigned front-end & cloth seats. It was launched in 2001.","After the introduction of the second generation Mirage/Colt, the original model","After the introduction of the second generation Mirage/Colt, the original model remained available in Belgium (at least) as the ""Mitsubishi Magnum"", only offered as a three-door with the smallest engine and bare-bones equipment.",,
,,,"In Indonesia, both the sedan and the 5-door hatchback were sold under the Lancer nameplate. Available in two trim levels, SL with 1.4-liter engine and GLX with 1.6-liter engine.","Layout Front-engine, front-wheel-drive",,,speed automatic,EU: 102 N⋅m (75 lb⋅ft) FWD 3-door hatchback,,,,,,,,"Manufacture of the Colt ended in 2012, with the successor model reverting to the Mirage name internationally. Unlike the Colt's expensive architecture shared with the Smart Forfour, the emphasis on the Mirage is low pricing to increase Mitsubishi's presence in emerging markets.","Some European markets received a smaller 1.2-liter ""tax special"" as well, with 5","Some European markets received a smaller 1.2-liter ""tax special"" as well, with 55 PS (40 kW). The car received a very mild facelift in early 1986, along with some new engine options for the Japanese domestic market.",,
,,,"Wheelbase 2,385 mm (93.9 in) (hatchback)",Engine,,,Transmission 5-speed manual,cc SOHC 8V carburated 4G15 75 PS (55 kW) 118 N⋅m (87 lb⋅ft) FWD,,,,,,,,Predecessor Mitsubishi Colt,"The change included better equipment and a revised lineup, going from the basic","The change included better equipment and a revised lineup, going from the basic XF via the better equipped XL to the mildly sporty X1 X on top. The X1 X featured an Italvolanti steering wheel and alloy wheels by Porsche Design.",,
,,,Wheelbase,L 4G12T turbo I4 (A152/156),,,Transmission,WD JDM only 1987-1990,,,,,,,,"In the Philippines, the Mirage G4 received its facelift on 28 August 2021. It is offered in the same trim models as the pre-facelift model: GLX (manual & CVT) and GLS (CVT only).",Also new was the competitively priced and comprehensively equipped Marion versio,"Also new was the competitively priced and comprehensively equipped Marion version, only available in the three-door body with the 1.3-liter engine, aimed specifically at young female buyers. Meanwhile, the Van received additional safety equipment such as a laminated front windshield and ELR belts, while the 1500 CX Wagon gained power steering and bronze window tint. The second generation Mirage hatchback was replaced in October 1987; the sedans were replaced in January 1988.",,
,,,speed INVECS-II Sportronic automatic (Thailand and China),Colt Turbo A150 (Europe),,,speed F5M21/22 manual,US: 142 N⋅m (105 lb⋅ft) FWD,,,,,,,,"In January 2022, a limited-edition GLS Sport was introduced. Based on the GLS trim, the GLS Sport featured sideskirts, grille garnish, and rear lip spoiler. Only 300 units were produced.","The 1985 Mirage's equipment levels were Base, L, LS, and Turbo, with prices set","The 1985 Mirage's equipment levels were Base, L, LS, and Turbo, with prices set a few hundred dollars beneath those of its Dodge/Plymouth equivalents. The well-equipped LS model was dropped after the first model year, and in 1987 a four-door sedan was added to the lineup.",,
,,,"Wheelbase 2,415 mm (95.1 in) (hatchback/coupé)","Front-engine, four-wheel-drive",,,speed F3A21 automatic,WD 3-door hatchback,,,,,,,,The limited-edition Black Series was introduced in November 2022. Only 150 units were produced.,"For 1988, only the Turbo Sport hatchback and naturally aspirated standard 4-door","For 1988, only the Turbo Sport hatchback and naturally aspirated standard 4-door sedan remained in price listings, as the new Mitsubishi Precis supplanted the basic hatchback Mirage.",,
,,,"In the Philippines, the Mirage G4 received its facelift on 28 August 2021. It is offered in the same trim models as the pre-facelift model: GLX (manual & CVT) and GLS (CVT only).",cc 4G61T DOHC 16V turbo I4,,,Transmission 5-speed Mitsubishi F5MDB manual,WD 5-door liftback EU 1992-1994,,,,,,,,,"Five-speed manual transmission was standard, although an automatic was optional","Five-speed manual transmission was standard, although an automatic was optional on all Mirages except the S coupé.",,
,,,"In January 2022, a limited-edition GLS Sport was introduced. Based on the GLS trim, the GLS Sport featured sideskirts, grille garnish, and rear lip spoiler. Only 300 units were produced.",cc 4D65T 8V turbo-diesel I4 (Japan),,,Jatco JF015E (CVT-7) INVECS-III CVT,C77A 1755 cc SOHC 8V ECI MULTI 4G37 97 PS (71 kW) 141 N⋅m (104 lb⋅ft) 4WD 5-door liftback EU 1989-1991,,,,,,,,,"For the 1994 model year, Mitsubishi introduced a driver's airbag, the LS sedan l","For the 1994 model year, Mitsubishi introduced a driver's airbag, the LS sedan lost its optional anti-lock brakes, and the LS coupé gained the 1.8-liter engine previously exclusive to sedans.",,
,,,The limited-edition Black Series was introduced in November 2022. Only 150 units were produced.,"The third generation received a minor facelift in September 1989, with late models receiving the same modernized engines as were seen in the subsequent generation. In its most potent turbocharged variant, the new 4G61 engine produced 160 PS (118 kW) at 6000 rpm.",,,"The Thai market model was unveiled at the 2012 Bangkok International Motor Show on 28 March 2012. The Thai model features the 1.2-litre three-cylinder engine with start-stop, fitted with a CVT or manual transmission.",cc DOHC 16V ECI MULTI 4G67 136 PS (100 kW) 162 N⋅m (119 lb⋅ft) FWD 3-door hatchback,,,,,,,,,"The Modarc featured chrome for the grille, side mirrors, door handles, and bumpe","The Modarc featured chrome for the grille, side mirrors, door handles, and bumper strips; it also included fog lights and optional alloy wheels.",,
